,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2820,2014,47,200,286.93,82.0,1016.0,6.0,T
2211,2013,295,0,289.51,48.0,1011.0,1.0,T
222,2014,69,800,288.39,59.0,1020.0,0.0,T
1449,2015,50,1700,282.86,100.0,1033.0,0.0,T
4068,2015,325,1700,285.04,54.0,1024.0,3.0,F
1440,2013,35,1600,281.55,70.0,1024.0,3.0,T
2525,2015,53,300,286.37,89.0,1024.0,1.0,T
4554,2016,236,1400,288.02,82.0,1017.0,1.0,F
2982,2015,235,2300,297.67,84.0,1007.0,4.0,T
5771,2017,43,2300,290.39,59.0,1022.0,7.0,F
5184,2016,109,1600,292.49,20.0,1028.0,4.0,F
2754,2013,329,2000,286.06,60.0,1025.0,2.0,T
3962,2013,28,900,280.81,66.0,1019.0,7.0,F
4867,2016,339,100,285.61,76.0,1022.0,6.0,F
4178,2017,211,300,292.37,93.0,1016.0,2.0,F
5736,2017,53,200,285.55,93.0,1014.0,2.0,F
3454,2014,139,1200,285.36,88.0,1012.0,0.0,F
5230,2017,5,2300,282.85,69.0,1014.0,2.0,F
4012,2016,269,2000,304.48,20.0,1014.0,1.0,F
3436,2016,103,1400,284.82,87.0,1022.0,3.0,F
4806,2015,343,700,285.16,100.0,1017.0,2.0,F
5957,2013,342,300,276.98,72.0,1023.0,1.0,F
5147,2016,156,0,306.76,83.0,1010.0,2.0,F
5970,2016,351,1700,282.07,25.0,1022.0,5.0,F
2316,2013,241,2300,299.36,78.0,1011.0,2.0,T
4103,2015,225,500,292.3,82.0,1018.0,3.0,F
5091,2016,298,0,290.88,70.0,1017.0,4.0,F
2698,2014,313,1900,292.12,74.0,1027.0,1.0,T
2606,2013,290,0,298.03,52.0,1016.0,0.0,T
2180,2013,312,2100,292.95,48.0,1014.0,1.0,T
3397,2014,61,2000,288.15,93.0,1017.0,5.0,F
3512,2017,177,1400,289.04,68.0,1024.0,2.0,F
5966,2017,10,2200,287.57,82.0,1010.0,12.0,F
4996,2016,135,700,284.64,87.0,1017.0,3.0,F
5723,2017,156,1700,290.77,70.0,1013.0,7.0,F
156,2013,189,2000,297.76,80.0,1011.0,1.0,T
901,2014,163,1700,287.55,86.0,1027.0,4.0,T
3958,2013,85,400,284.49,87.0,1017.0,1.0,F
2567,2013,131,100,289.87,67.0,1020.0,8.0,T
4335,2017,94,100,295.28,83.0,1007.0,3.0,F
4264,2014,333,2000,286.15,100.0,1023.0,1.0,F
5687,2016,179,300,298.28,88.0,1010.0,2.0,F
3837,2016,318,1200,283.4,82.0,1020.0,2.0,F
4564,2017,117,1300,284.51,87.0,1017.0,5.0,F
4391,2016,215,1100,287.22,82.0,1016.0,3.0,F
254,2013,167,300,292.52,85.0,1012.0,2.0,T
5467,2014,356,800,287.11,97.0,1038.0,3.0,F
5342,2014,340,800,287.92,96.0,1031.0,5.0,F
3836,2016,297,700,283.69,99.0,1017.0,2.0,F
1192,2015,105,100,288.11,62.0,1038.0,4.0,T
3656,2017,134,800,283.33,87.0,1014.0,5.0,F
216,2013,128,800,288.38,76.0,1016.0,0.0,T
2495,2015,52,500,284.44,97.0,1028.0,1.0,T
5698,2013,343,1900,279.19,34.0,1030.0,2.0,F
2497,2014,203,800,288.99,77.0,1018.0,2.0,T
468,2015,316,1400,278.46,72.0,1015.0,5.0,T
81,2014,243,0,294.33,72.0,1024.0,2.0,T
1810,2015,319,1400,284.59,90.0,1011.0,6.0,T
2001,2013,240,2200,294.45,69.0,1025.0,2.0,T
1801,2015,330,200,282.74,100.0,1031.0,3.0,T
4765,2017,37,1100,286.06,77.0,1008.0,4.0,F
4351,2015,265,2300,293.74,68.0,1014.0,6.0,F
4092,2017,232,300,292.88,100.0,1012.0,3.0,F
1389,2014,235,2300,293.08,76.0,1025.0,2.0,T
2852,2014,159,2300,304.33,38.0,1007.0,1.0,T
