year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,15,2300.0,OAKS,"",Campfire,0.1,A,34.22916667,-117.77916667
2006,14,1800.0,TREE,"",Lightning,0.1,A,34.2725,-117.625
2006,18,1200.0,VOYAGER,"","Equipment Use",0.1,A,34.46333333,-118.34138889
2006,22,1400.0,CASTAIC,"","Equipment Use",0.2,A,34.47527778,-118.61722222
2006,29,800.0,YUKON,"",Arson,0.1,A,34.37444444,-118.4775
2006,44,1700.0,TOYOTA,"","Equipment Use",0.1,A,34.37777778,-118.49138889
2006,8,1300.0,VETERANS,"",Children,0.25,A,34.32944444,-118.4175
2006,55,100.0,SMOLDER,"",Miscellaneous,0.1,A,34.23888889,-117.85138889
2006,22,2100.0,HILLSIDE,"",Miscellaneous,0.25,A,34.15888889,-118.00777778
2006,33,1600.0,LOADER,"","Equipment Use",0.1,A,34.29694444,-118.40027778
2006,45,1200.0,GOLF,"",Miscellaneous,0.1,A,34.25472222,-118.39055556
2006,43,1200.0,ESKO,"","Debris Burning",3.0,B,34.27611111,-118.34777778
2006,22,1200.0,WILSON,"",Campfire,0.1,A,34.25833333,-118.10555556
2006,75,1200.0,BUR,"",Miscellaneous,0.1,A,34.23972222,-117.65305556
2006,85,1100.0,FISH,"",Miscellaneous,1.0,B,34.16027778,-117.92111111
2006,86,900.0,BURRO,"",Miscellaneous,0.1,A,34.23944444,-117.83416667
2006,89,1400.0,SHOULDER,"",Miscellaneous,0.1,A,34.56222222,-118.68111111
2006,36,2100.0,SPOT,"",Miscellaneous,0.1,A,34.74583333,-118.79638889
2006,101,800.0,FORD,"","Equipment Use",0.1,A,34.18611111,-117.67638889
2006,103,1600.0,VELUZAT,"",Miscellaneous,0.1,A,34.48944444,-118.51027778
2006,113,2100.0,REED,"",Miscellaneous,0.5,B,34.6575,-118.39305556
2006,114,1900.0,HART,"",Miscellaneous,0.1,A,34.62277778,-118.4125
2006,113,1200.0,PLANE,"",Miscellaneous,0.1,A,34.35944444,-117.68472222
2006,119,1000.0,TOWER,"","Equipment Use",0.1,A,34.51083333,-118.48055556
2006,127,1500.0,RANGE,"","Equipment Use",0.1,A,34.67861111,-118.77833333
2006,130,1200.0,MARK,"","Equipment Use",0.1,A,34.51416667,-118.33666667
2006,131,1000.0,CINDER,"",Arson,0.1,A,34.52583333,-118.38305556
2006,132,1300.0,EMMA,"",Miscellaneous,2.5,B,34.50694444,-117.99333333
2006,133,1200.0,JUNK,"",Miscellaneous,0.25,A,34.44972222,-117.81833333
2006,134,1200.0,ESCONDIDO,"",Miscellaneous,0.1,A,34.48222222,-118.28694444
2006,135,1500.0,AGUA,"",Miscellaneous,0.1,A,34.47361111,-118.31527778
2006,136,1600.0,ROVER,"",Miscellaneous,0.1,A,34.4975,-118.22638889
2006,137,1000.0,GRUDGE,"",Arson,0.1,A,34.52611111,-118.38305556
2006,138,1700.0,RING,"",Campfire,0.1,A,34.37916667,-118.40222222
2006,144,500.0,LITTLE,"",Miscellaneous,0.5,B,34.68611111,-118.78416667
2006,145,1400.0,PURITAN,"",Miscellaneous,0.1,A,34.49583333,-118.27916667
2006,146,2100.0,FREEMAN,"",Miscellaneous,5.0,B,34.73861111,-118.84027778
2006,148,1900.0,ROBIN,"",Children,0.5,B,34.43916667,-118.27583333
2006,137,1600.0,"LIGHTNING 1","",Lightning,0.5,B,34.45888889,-118.02694444
2006,137,1700.0,"LIGHTNING 2","",Lightning,0.1,A,34.48527778,-118.06611111
2006,147,2000.0,CHERRY,"",Miscellaneous,0.3,B,34.63444444,-118.73722222
2006,149,2000.0,FRAN,"",Campfire,0.1,A,34.48388889,-118.54138889
2006,161,1700.0,LEXUS,"",Arson,0.1,A,34.29944444,-118.17805556
2006,147,1200.0,MOVIE,"","Equipment Use",0.5,B,34.56888889,-118.68611111
2006,148,1100.0,RALPH,"","Equipment Use",0.5,B,34.54583333,-118.66388889
2006,149,700.0,HUGHES,"","Equipment Use",0.1,A,34.51805556,-118.63777778
2006,154,1200.0,VEHICLE,"","Equipment Use",0.1,A,34.52611111,-118.53194444
2006,156,200.0,DELAGO,"",Miscellaneous,0.1,A,34.66111111,-118.75555556
2006,156,1500.0,TORCH,"",Arson,0.1,A,34.53194444,-118.36555556
2006,159,1800.0,HONDA,"",Miscellaneous,0.1,A,34.48,-118.29194444
2006,160,1100.0,NORTHSIDE,"",Miscellaneous,0.1,A,34.62916667,-118.30361111
2006,161,1300.0,TEMPLIN,"","Equipment Use",2.0,B,34.52611111,-118.64777778
2006,161,2000.0,BOOTLEGGER,"",Miscellaneous,0.1,A,34.43222222,-118.2175
2006,167,1900.0,PICKUP,"","Equipment Use",0.1,A,34.48416667,-118.61555556
2006,167,1900.0,PARKER,"","Equipment Use",0.1,A,34.48388889,-118.61555556
2006,166,1600.0,CAR,"",Miscellaneous,0.1,A,34.54166667,-118.65833333
2006,166,1700.0,VISTA,"",Miscellaneous,20.0,C,34.63277778,-118.72833333
2006,167,1300.0,LAKE,"","Equipment Use",0.5,B,34.53777778,-118.65388889
2006,167,1600.0,"BEAR 1","",Miscellaneous,8.0,B,34.69277778,-118.78833333
2006,167,1600.0,"BEAR 2","",Miscellaneous,1.0,B,34.69277778,-118.78833333
2006,167,1900.0,VAN,"",Miscellaneous,0.1,A,34.57305556,-118.69305556
2006,170,1200.0,LARGO,"","Debris Burning",2.0,B,34.4825,-117.75416667
2006,168,1500.0,PARADISE,"",Miscellaneous,2.0,B,34.58166667,-118.69472222
2006,171,1600.0,SOUTH,"","Equipment Use",0.5,B,34.66222222,-118.7575
2006,175,800.0,ANTELOPE,"",Miscellaneous,0.1,A,34.49083333,-118.1975
2006,175,1500.0,UNDERPASS,"",Miscellaneous,8.0,B,34.49166667,-118.2825
2006,139,1400.0,BURRTEC,"","Equipment Use",0.1,A,34.17861111,-117.67472222
2006,152,1700.0,LAWNMOWER,"","Equipment Use",0.1,A,34.41444444,-118.39638889
2006,164,1400.0,CAPRA,"",Campfire,0.1,A,34.43,-118.355
2006,177,1000.0,ROAD,"",Miscellaneous,0.5,B,34.50027778,-118.62472222
2006,178,800.0,TRUCK,"",Arson,0.1,A,34.53083333,-118.37027778
2006,182,1100.0,AVOCADO,"",Children,0.1,A,34.46833333,-118.53472222
2006,184,1900.0,CABIN,"",Children,0.1,A,34.55361111,-118.42055556
2006,184,2300.0,LIVE,"",Campfire,0.1,A,34.37805556,-118.40583333
2006,185,2100.0,DULCE,"",Arson,0.5,B,34.43888889,-118.33333333
2006,186,1400.0,GRASSHOPPER,"",Miscellaneous,0.5,B,34.39138889,-118.46111111
2006,175,2000.0,MINE,"",Campfire,0.1,A,34.35833333,-117.74305556
2006,178,1400.0,SIGN,"",Miscellaneous,0.25,A,34.49166667,-118.28055556
2006,181,1200.0,SIERRA,"",Miscellaneous,2.0,B,34.49083333,-118.21222222
2006,182,400.0,LOT,"",Miscellaneous,0.1,A,34.41194444,-117.85222222
2006,165,1200.0,CISQUITO,"","Equipment Use",1.0,B,34.645,-118.35777778
2006,166,1200.0,GRASS,"",Miscellaneous,0.1,A,34.56916667,-118.68861111
2006,166,1300.0,SMOKEY,"","Equipment Use",0.1,A,34.72361111,-118.79722222
2006,166,1600.0,CANYON,"","Equipment Use",2.0,B,34.56444444,-118.68194444
2006,166,1700.0,NORTHBOUND,"",Arson,0.1,A,34.75277778,-118.79416667
2006,172,600.0,RIG,"","Equipment Use",0.5,B,34.69722222,-118.79138889
