,year,doy,hourmin,temperature,humidity,wind,pressure
0,2012,275,1200,,,,
1,2012,275,1300,291.87,88.0,0.0,1013.0
2,2012,275,1400,291.86818552200003,88.0,0.0,1013.0
3,2012,275,1500,291.86284445900003,88.0,0.0,1013.0
4,2012,275,1600,291.857503395,88.0,0.0,1013.0
5,2012,275,1700,291.85216233200003,88.0,0.0,1013.0
6,2012,275,1800,291.846821268,88.0,0.0,1013.0
7,2012,275,1900,291.841480205,88.0,0.0,1013.0
8,2012,275,2000,291.83613914200004,88.0,0.0,1013.0
9,2012,275,2100,291.830798078,88.0,0.0,1013.0
10,2012,275,2200,291.825457015,88.0,0.0,1013.0
11,2012,275,2300,291.820115951,88.0,0.0,1013.0
12,2012,276,0,291.814774888,88.0,0.0,1013.0
13,2012,276,100,291.809433824,88.0,0.0,1013.0
14,2012,276,200,291.804092761,88.0,0.0,1013.0
15,2012,276,300,291.798751698,88.0,0.0,1013.0
16,2012,276,400,291.793410634,88.0,0.0,1013.0
17,2012,276,500,291.788069571,88.0,0.0,1013.0
18,2012,276,600,291.782728507,88.0,0.0,1013.0
19,2012,276,700,291.777387444,88.0,0.0,1013.0
20,2012,276,800,291.772046381,88.0,0.0,1013.0
21,2012,276,900,291.766705317,88.0,0.0,1013.0
22,2012,276,1000,291.761364254,88.0,0.0,1013.0
23,2012,276,1100,291.75602319,88.0,0.0,1013.0
24,2012,276,1200,291.750682127,88.0,0.0,1013.0
25,2012,276,1300,291.745341063,88.0,0.0,1013.0
26,2012,276,1400,291.74,88.0,0.0,1013.0
27,2012,276,1500,293.97,88.0,0.0,1013.0
28,2012,276,1600,295.59,23.0,0.0,1014.0
29,2012,276,1700,297.93,19.0,1.0,1014.0
30,2012,276,1800,303.83,24.0,0.0,1013.0
31,2012,276,1900,305.03,15.0,1.0,1013.0
32,2012,276,2000,306.12,12.0,1.0,1012.0
33,2012,276,2100,307.66,14.0,2.0,1012.0
34,2012,276,2200,307.71,22.0,3.0,1011.0
35,2012,276,2300,306.87,21.0,1.0,1009.0
36,2012,277,0,305.7,27.0,2.0,1009.0
37,2012,277,100,303.69,42.0,2.0,1009.0
38,2012,277,200,302.02,54.0,1.0,1009.0
39,2012,277,300,300.42,57.0,0.0,1009.0
40,2012,277,400,299.64,60.0,0.0,1009.0
41,2012,277,500,299.62,53.0,0.0,1010.0
42,2012,277,600,296.38,60.0,0.0,1010.0
43,2012,277,700,295.2,60.0,0.0,1010.0
44,2012,277,800,295.2,24.0,0.0,1011.0
45,2012,277,900,294.66,53.0,0.0,1010.0
46,2012,277,1000,294.22,56.0,0.0,1010.0
47,2012,277,1100,293.86,26.0,0.0,1011.0
48,2012,277,1200,293.235,45.0,0.0,1010.0
49,2012,277,1300,292.61,64.0,0.0,1010.0
50,2012,277,1400,292.44,64.0,0.0,1010.0
51,2012,277,1500,295.15,56.0,0.0,1010.0
52,2012,277,1600,297.86,49.0,0.0,1010.0
53,2012,277,1700,300.57,42.0,0.0,1011.0
54,2012,277,1800,303.11,24.0,0.0,1011.0
55,2012,277,1900,304.07,21.0,0.0,1011.0
56,2012,277,2000,304.01,38.0,0.0,1010.0
57,2012,277,2100,304.76,33.0,4.0,1009.0
58,2012,277,2200,304.18,34.0,3.0,1009.0
59,2012,277,2300,303.6,35.0,1.0,1009.0
60,2012,278,0,302.31,35.0,1.0,1009.0
61,2012,278,100,300.72,39.0,1.0,1009.0
62,2012,278,200,299.11,47.0,0.0,1009.0
63,2012,278,300,297.84,60.0,0.0,1009.0
64,2012,278,400,296.17,69.0,0.0,1010.0
65,2012,278,500,294.99,69.0,0.0,1011.0
66,2012,278,600,294.18,73.0,0.0,1011.0
67,2012,278,700,293.97,57.0,1.0,1012.0
68,2012,278,800,293.13,77.0,0.0,1012.0
69,2012,278,900,292.96,66.0,0.0,1012.0
70,2012,278,1000,292.28,82.0,0.0,1012.0
71,2012,278,1100,291.78,82.0,0.0,1012.0
