year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,17,1000.0,FROSTY,"",Miscellaneous,0.1,A,32.83444444,-116.72777778
2006,34,1300.0,WILLOWS,"",Miscellaneous,0.1,A,32.835,-116.73083333
2006,29,1600.0,YELLOW,"","Equipment Use",0.1,A,33.625,-116.71111111
2006,92,800.0,"BEE #1","","Debris Burning",0.1,A,33.69583333,-116.83555556
2006,99,1900.0,HAYSTACK,"",Campfire,0.25,A,33.67222222,-116.44083333
2006,148,2000.0,"VISTA POINT","","Equipment Use",0.1,A,33.58333333,-116.63138889
2006,158,1400.0,PINEWOOD,"",Lightning,0.1,A,33.49194444,-116.44888889
2006,157,1500.0,"LA CIMA","",Miscellaneous,5.0,B,33.51194444,-116.61611111
2006,172,900.0,RIBBONWOOD,"","Equipment Use",2.0,B,33.58194444,-116.51444444
2006,164,1500.0,MITCHELL,"",Miscellaneous,1.0,B,33.57055556,-116.68138889
2006,193,1200.0,CAREY,"",Arson,160.0,D,33.55527778,-116.75944444
2006,196,1300.0,CAVE,"",Miscellaneous,35.0,C,33.56388889,-116.72138889
2006,196,1800.0,"PALMS 2","",Lightning,7.0,B,33.61583333,-116.51305556
2006,201,1700.0,RIBBON,"",Lightning,5.0,B,33.58555556,-116.55277778
2006,203,1600.0,LAKE,"",Lightning,0.01,A,33.65777778,-116.70055556
2006,204,1300.0,"OAK 2","",Lightning,225.0,D,33.62666667,-116.84055556
2006,178,900.0,HOT,"",Lightning,0.1,A,33.29916667,-116.63277778
2006,178,1600.0,SLASH,"","Debris Burning",0.1,A,33.31666667,-116.85166667
2006,188,2000.0,DOANE,"",Miscellaneous,0.1,A,33.33333333,-116.9
2006,179,1200.0,"SOUTH 2","",Miscellaneous,0.25,A,33.30194444,-116.88361111
2006,140,1500.0,RIVER,"",Campfire,0.01,A,33.13083333,-116.79638889
2006,224,1200.0,CANYON,"",Miscellaneous,20.0,C,33.5625,-116.55555556
2006,15,1200.0,WILDOMAR,"",Campfire,0.1,A,33.56805556,-117.34194444
2006,43,2200.0,ORTEGA,"",Miscellaneous,0.25,A,33.59,-117.50388889
2006,149,1300.0,"SITE 10","",Campfire,0.01,A,33.6525,-117.45194444
2006,149,1300.0,"SITE 25","",Campfire,0.01,A,33.6525,-117.45194444
2006,149,1400.0,"SITE 26","",Campfire,0.1,A,33.6525,-117.45194444
2006,152,1300.0,"SITE 39","",Campfire,0.1,A,33.65138889,-117.45527778
2006,141,1600.0,"SITE 18","",Campfire,0.1,A,33.6525,-117.45305556
2006,203,1800.0,COW,"",Lightning,0.1,A,33.70777778,-117.47361111
2006,205,200.0,ROCK,"","Equipment Use",0.25,A,33.59972222,-117.48638889
2006,20,1200.0,MUSTANG,"",Arson,0.2,A,33.32361111,-116.72388889
2006,86,1100.0,CUTCA,"",Campfire,0.1,A,33.66166667,-116.99444444
2006,177,1400.0,HIGHPOINT,"",Campfire,0.1,A,33.3825,-116.82972222
2006,124,900.0,SMALL,"","Debris Burning",0.1,A,33.39444444,-116.79972222
2006,141,1500.0,INDIAN,"",Campfire,0.1,A,33.35972222,-116.67222222
2006,65,1600.0,EAGLE,"","Debris Burning",5.0,B,33.05861111,-116.66416667
2006,245,1400.0,MUSTARD,"",Lightning,0.1,A,33.33555556,-116.7
2006,224,1900.0,BLACK,"",Arson,0.2,A,33.10083333,-116.82416667
2006,245,1600.0,NAVY,"",Lightning,0.1,A,33.36083333,-116.70833333
2006,245,1400.0,STONERIDGE,"",Lightning,0.2,A,33.36416667,-116.70333333
2006,37,1300.0,FISHERMAN,"",Miscellaneous,0.01,A,33.53222222,-117.39277778
2006,173,1700.0,SOUTH,"",Miscellaneous,0.25,A,33.64888889,-117.41194444
2006,183,1000.0,CARISO,"",Miscellaneous,0.01,A,33.65138889,-117.40861111
2006,183,1100.0,CAMP,"",Miscellaneous,0.01,A,33.65416667,-117.44888889
2006,232,1600.0,"SITE 28","",Campfire,0.01,A,33.6525,-117.455
2006,232,1700.0,RANCHO,"","Equipment Use",0.01,A,33.61361111,-117.36222222
2006,239,1100.0,"SITE 8","",Campfire,0.01,A,33.65416667,-117.41555556
2006,239,1900.0,LOOP,"",Miscellaneous,0.01,A,33.655,-117.4575
2006,10,1400.0,RADEC,"",Miscellaneous,0.01,A,33.46638889,-116.93305556
2006,250,1600.0,VAIL,"",Miscellaneous,0.01,A,33.46888889,-116.95555556
2006,247,800.0,OAK,"",Lightning,0.5,B,33.36944444,-116.78305556
2006,211,1200.0,POINT,"",Campfire,0.01,A,33.3825,-116.82972222
2006,250,1400.0,LIVEOAK,"","Equipment Use",0.01,A,33.66638889,-117.60111111
2006,270,1600.0,FALLS,"","Equipment Use",1.0,B,33.6075,-117.44277778
2006,204,600.0,HORSE,HORSE,Campfire,16677.0,G,32.75444444,-116.66916667
2006,235,1300.0,"BURNT VALLEY","",Lightning,0.1,A,33.56222222,-116.60194444
