year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2012,275,1300,291.53,82.0,1013.0,0.0,F
2012,275,1400,291.533500952,81.0,1013.0,0.0,F
2012,275,1500,291.54335507900004,81.0,1013.0,0.0,F
2012,275,1600,291.55320920599996,81.0,1013.0,0.0,T
2012,275,1700,291.563063333,80.0,1013.0,0.0,T
2012,275,1800,291.57291746,80.0,1013.0,0.0,F
2012,275,1900,291.582771587,80.0,1013.0,0.0,F
2012,275,2000,291.592625714,79.0,1013.0,0.0,F
2012,275,2100,291.602479841,79.0,1013.0,0.0,F
2012,275,2200,291.612333968,78.0,1013.0,0.0,F
2012,275,2300,291.622188095,78.0,1013.0,0.0,F
2012,276,0,291.632042222,78.0,1013.0,0.0,F
2012,276,100,291.64189634900004,77.0,1013.0,0.0,F
2012,276,200,291.65175047599996,77.0,1013.0,0.0,F
2012,276,300,291.661604603,77.0,1013.0,0.0,F
2012,276,400,291.67145873,76.0,1013.0,0.0,F
2012,276,500,291.681312857,76.0,1013.0,0.0,F
2012,276,600,291.691166984,75.0,1013.0,0.0,F
2012,276,700,291.701021111,75.0,1013.0,0.0,F
2012,276,800,291.71087523799997,75.0,1013.0,0.0,F
2012,276,900,291.720729365,74.0,1013.0,0.0,F
2012,276,1000,291.730583492,74.0,1013.0,0.0,F
2012,276,1100,291.74043761900003,74.0,1013.0,0.0,T
2012,276,1200,291.75029174599996,73.0,1013.0,0.0,T
2012,276,1300,291.760145873,73.0,1013.0,0.0,F
2012,276,1400,291.77,73.0,1013.0,0.0,F
2012,276,1500,294.91,73.0,1014.0,1.0,F
2012,276,1600,296.3,22.0,1014.0,1.0,F
2012,276,1700,300.13,15.0,1014.0,0.0,F
2012,276,1800,303.98,57.0,1013.0,3.0,F
2012,276,1900,303.9,57.0,1013.0,4.0,F
2012,276,2000,304.22,35.0,1013.0,4.0,F
2012,276,2100,302.81,69.0,1011.0,6.0,F
2012,276,2200,303.38,65.0,1010.0,4.0,F
2012,276,2300,301.85,61.0,1010.0,4.0,F
2012,277,0,301.66,61.0,1009.0,5.0,F
2012,277,100,299.69,65.0,1010.0,2.0,F
2012,277,200,298.08,57.0,1010.0,2.0,F
2012,277,300,297.74,61.0,1010.0,1.0,F
2012,277,400,295.85,64.0,1011.0,1.0,F
2012,277,500,295.39,73.0,1011.0,0.0,F
2012,277,600,294.28,69.0,1011.0,0.0,F
2012,277,700,294.02,73.0,1011.0,0.0,T
2012,277,800,293.74,52.0,1011.0,0.0,F
2012,277,900,293.23,78.0,1011.0,0.0,F
2012,277,1000,292.75,77.0,1011.0,0.0,F
2012,277,1100,292.58,59.0,1011.0,0.0,F
2012,277,1200,291.76,68.0,1010.0,0.0,F
2012,277,1300,292.17,64.0,1010.0,0.0,F
2012,277,1400,292.03,60.0,1011.0,0.0,F
2012,277,1500,295.613333333,54.0,1011.0,0.0,F
2012,277,1600,299.196666667,49.0,1011.0,0.0,F
2012,277,1700,302.78,44.0,1012.0,0.0,T
2012,277,1800,304.45,45.0,1012.0,1.0,F
2012,277,1900,305.31,51.0,1011.0,3.0,T
2012,277,2000,305.88,51.0,1011.0,4.0,F
2012,277,2100,305.16,45.0,1010.0,3.0,F
2012,277,2200,303.63,53.0,1010.0,2.0,F
2012,277,2300,302.1,61.0,1010.0,2.0,F
2012,278,0,302.17,51.0,1010.0,2.0,F
2012,278,100,300.28,54.0,1010.0,2.0,F
2012,278,200,297.77,65.0,1010.0,0.0,F
2012,278,300,296.63,73.0,1011.0,0.0,F
2012,278,400,294.99,73.0,1011.0,0.0,F
2012,278,500,294.41,78.0,1012.0,0.0,F
2012,278,600,293.98,78.0,1012.0,1.0,F
2012,278,700,293.51,88.0,1011.0,0.0,F
2012,278,800,292.4,83.0,1012.0,0.0,F
2012,278,900,292.26,88.0,1012.0,0.0,F
2012,278,1000,292.17,83.0,1012.0,0.0,F
2012,278,1100,291.34,88.0,1013.0,0.0,F
2012,278,1200,290.99,88.0,1013.0,0.0,F
2012,278,1300,290.84,88.0,1014.0,0.0,F
2012,278,1400,290.72,94.0,1014.0,0.0,F
2012,278,1500,293.68,94.0,1015.0,1.0,F
2012,278,1600,295.81,94.0,1015.0,0.0,F
2012,278,1700,298.19,83.0,1016.0,1.0,F
2012,278,1800,299.09,69.0,1016.0,0.0,F
2012,278,1900,300.77,61.0,1015.0,2.0,F
2012,278,2000,301.4,61.0,1015.0,3.0,F
2012,278,2100,301.91,54.0,1015.0,3.0,F
2012,278,2200,301.15,61.0,1015.0,5.0,F
2012,278,2300,299.48,65.0,1015.0,4.0,F
2012,279,0,298.41,73.0,1015.0,4.0,F
2012,279,100,296.68,73.0,1015.0,3.0,F
2012,279,200,295.18,78.0,1016.0,3.0,F
2012,279,300,294.22,83.0,1016.0,2.0,F
2012,279,400,293.25,78.0,1016.0,2.0,F
2012,279,500,292.5,83.0,1017.0,2.0,F
2012,279,600,292.16,83.0,1017.0,2.0,F
2012,279,700,291.745,85.0,1017.0,1.0,F
2012,279,800,291.33,88.0,1018.0,0.0,F
2012,279,900,291.21,85.0,1018.0,0.0,F
2012,279,1000,291.09,82.0,1018.0,0.0,F
2012,279,1100,291.15,82.0,1017.0,0.0,F
2012,279,1200,291.11,77.0,1018.0,2.0,F
2012,279,1300,290.93,82.0,1018.0,0.0,F
2012,279,1400,291.01,77.0,1019.0,0.0,F
2012,279,1500,291.91,73.0,1019.0,1.0,F
2012,279,1600,293.47,68.0,1020.0,1.0,F
2012,279,1700,294.93,64.0,1020.0,0.0,F
2012,279,1800,296.18,53.0,1020.0,1.0,T
2012,279,1900,296.78,53.0,1020.0,5.0,F
2012,279,2000,297.1,57.0,1020.0,4.0,F
2012,279,2100,297.44,53.0,1019.0,4.0,F
2012,279,2200,296.96,53.0,1019.0,4.0,F
2012,279,2300,296.72,64.0,1017.0,0.0,F
2012,280,0,295.73,64.0,1018.0,4.0,F
2012,280,100,294.24,68.0,1018.0,3.0,F
2012,280,200,293.14,77.0,1019.0,2.0,F
2012,280,300,292.19,73.0,1018.0,3.0,F
2012,280,400,291.74,73.0,1019.0,2.0,F
2012,280,500,290.88,77.0,1019.0,2.0,F
2012,280,600,290.55,72.0,1019.0,0.0,F
2012,280,700,290.36,87.0,1019.0,0.0,F
2012,280,800,290.595,82.0,1018.0,0.0,F
2012,280,900,290.83,77.0,1018.0,0.0,F
2012,280,1000,290.99,72.0,1018.0,1.0,F
2012,280,1100,291.16,68.0,1018.0,0.0,F
2012,280,1200,291.27,77.0,1018.0,0.0,F
2012,280,1300,291.19,72.0,1018.0,2.0,F
2012,280,1400,290.8,77.0,1018.0,0.0,F
2012,280,1500,291.05,72.0,1018.0,2.0,F
2012,280,1600,292.73,68.0,1018.0,1.0,F
2012,280,1700,294.11,64.0,1018.0,2.0,F
2012,280,1800,295.43,60.0,1018.0,2.0,F
2012,280,1900,296.69,56.0,1018.0,2.0,F
2012,280,2000,296.32,60.0,1017.0,2.0,F
2012,280,2100,295.51,60.0,1016.0,3.0,F
2012,280,2200,295.11,60.0,1016.0,4.0,F
2012,280,2300,294.94,64.0,1015.0,3.0,F
2012,281,0,294.64,68.0,1015.0,2.0,F
2012,281,100,293.66,73.0,1015.0,3.0,F
2012,281,200,292.54,73.0,1015.0,2.0,F
2012,281,300,291.79,73.0,1015.0,1.0,F
2012,281,400,291.18,73.0,1015.0,1.0,F
2012,281,500,290.48,77.0,1015.0,0.0,F
2012,281,600,290.08666666700003,78.0,1015.0,0.0,F
2012,281,700,289.693333333,80.0,1015.0,0.0,F
2012,281,800,289.3,82.0,1015.0,0.0,F
2012,281,900,289.03,88.0,1015.0,0.0,F
2012,281,1000,288.61,82.0,1015.0,0.0,F
2012,281,1100,288.47,82.0,1014.0,0.0,F
2012,281,1200,288.38,77.0,1014.0,0.0,F
2012,281,1300,288.42,77.0,1015.0,0.0,F
2012,281,1400,288.43,77.0,1015.0,0.0,F
2012,281,1500,290.1,77.0,1015.0,0.0,F
2012,281,1600,291.79,72.0,1015.0,0.0,F
2012,281,1700,294.85,73.0,1015.0,0.0,F
2012,281,1800,296.77,64.0,1015.0,2.0,F
2012,281,1900,297.68,64.0,1015.0,2.0,F
2012,281,2000,298.09,60.0,1014.0,3.0,F
2012,281,2100,298.04,44.0,1014.0,5.0,F
2012,281,2200,297.86,60.0,1013.0,2.0,F
2012,281,2300,297.28,64.0,1013.0,3.0,F
2012,282,0,296.36,69.0,1013.0,3.0,F
2012,282,100,295.21,73.0,1013.0,3.0,F
2012,282,200,294.08,78.0,1013.0,1.0,F
2012,282,300,293.39,78.0,1013.0,1.0,F
2012,282,400,292.52,78.0,1014.0,1.0,F
2012,282,500,292.09,78.0,1014.0,0.0,F
2012,282,600,291.65,83.0,1014.0,0.0,F
2012,282,700,291.24,83.0,1014.0,0.0,F
2012,282,800,291.1,83.0,1014.0,0.0,F
2012,282,900,291.38,83.0,1014.0,0.0,F
2012,282,1000,291.71,77.0,1013.0,0.0,F
2012,282,1100,291.85,83.0,1013.0,1.0,F
2012,282,1200,291.76,77.0,1013.0,0.0,F
2012,282,1300,291.62,77.0,1013.0,2.0,F
2012,282,1400,291.57,77.0,1013.0,0.0,T
2012,282,1500,292.25,73.0,1014.0,1.0,F
2012,282,1600,293.66,73.0,1014.0,0.0,T
2012,282,1700,294.65,73.0,1014.0,1.0,T
2012,282,1800,296.39,68.0,1014.0,2.0,F
2012,282,1900,296.46,53.0,1014.0,4.0,F
2012,282,2000,297.08,50.0,1014.0,4.0,F
2012,282,2100,297.36,53.0,1013.0,4.0,F
2012,282,2200,296.81,64.0,1013.0,3.0,F
2012,282,2300,296.41,64.0,1013.0,1.0,F
2012,283,0,295.44,69.0,1012.0,3.0,F
2012,283,100,294.46,73.0,1013.0,3.0,F
2012,283,200,292.9,77.0,1013.0,3.0,F
2012,283,300,292.65,73.0,1013.0,2.0,F
2012,283,400,292.24,77.0,1014.0,2.0,F
2012,283,500,291.89,77.0,1014.0,2.0,F
2012,283,600,291.8,73.0,1014.0,0.0,F
2012,283,700,291.47,82.0,1014.0,0.0,F
2012,283,800,291.69,77.0,1014.0,0.0,F
2012,283,900,291.91,73.0,1014.0,0.0,F
2012,283,1000,291.74,73.0,1014.0,0.0,F
2012,283,1100,291.87,73.0,1014.0,0.0,F
2012,283,1200,292.0,73.0,1015.0,1.0,F
2012,283,1300,292.09,68.0,1015.0,1.0,F
