,year,doy,hourmin,temperature,humidity,wind,pressure
0,2012,275,1200,,,,
1,2012,275,1300,291.53,82.0,0.0,1013.0
2,2012,275,1400,291.533500952,81.0,0.0,1013.0
3,2012,275,1500,291.54335507900004,81.0,0.0,1013.0
4,2012,275,1600,291.55320920599996,81.0,0.0,1013.0
5,2012,275,1700,291.563063333,80.0,0.0,1013.0
6,2012,275,1800,291.57291746,80.0,0.0,1013.0
7,2012,275,1900,291.582771587,80.0,0.0,1013.0
8,2012,275,2000,291.592625714,79.0,0.0,1013.0
9,2012,275,2100,291.602479841,79.0,0.0,1013.0
10,2012,275,2200,291.612333968,78.0,0.0,1013.0
11,2012,275,2300,291.622188095,78.0,0.0,1013.0
12,2012,276,0,291.632042222,78.0,0.0,1013.0
13,2012,276,100,291.64189634900004,77.0,0.0,1013.0
14,2012,276,200,291.65175047599996,77.0,0.0,1013.0
15,2012,276,300,291.661604603,77.0,0.0,1013.0
16,2012,276,400,291.67145873,76.0,0.0,1013.0
17,2012,276,500,291.681312857,76.0,0.0,1013.0
18,2012,276,600,291.691166984,75.0,0.0,1013.0
19,2012,276,700,291.701021111,75.0,0.0,1013.0
20,2012,276,800,291.71087523799997,75.0,0.0,1013.0
21,2012,276,900,291.720729365,74.0,0.0,1013.0
22,2012,276,1000,291.730583492,74.0,0.0,1013.0
23,2012,276,1100,291.74043761900003,74.0,0.0,1013.0
24,2012,276,1200,291.75029174599996,73.0,0.0,1013.0
25,2012,276,1300,291.760145873,73.0,0.0,1013.0
26,2012,276,1400,291.77,73.0,0.0,1013.0
27,2012,276,1500,294.91,73.0,1.0,1014.0
28,2012,276,1600,296.3,22.0,1.0,1014.0
29,2012,276,1700,300.13,15.0,0.0,1014.0
30,2012,276,1800,303.98,57.0,3.0,1013.0
31,2012,276,1900,303.9,57.0,4.0,1013.0
32,2012,276,2000,304.22,35.0,4.0,1013.0
33,2012,276,2100,302.81,69.0,6.0,1011.0
34,2012,276,2200,303.38,65.0,4.0,1010.0
35,2012,276,2300,301.85,61.0,4.0,1010.0
36,2012,277,0,301.66,61.0,5.0,1009.0
37,2012,277,100,299.69,65.0,2.0,1010.0
38,2012,277,200,298.08,57.0,2.0,1010.0
39,2012,277,300,297.74,61.0,1.0,1010.0
40,2012,277,400,295.85,64.0,1.0,1011.0
41,2012,277,500,295.39,73.0,0.0,1011.0
42,2012,277,600,294.28,69.0,0.0,1011.0
43,2012,277,700,294.02,73.0,0.0,1011.0
44,2012,277,800,293.74,52.0,0.0,1011.0
45,2012,277,900,293.23,78.0,0.0,1011.0
46,2012,277,1000,292.75,77.0,0.0,1011.0
47,2012,277,1100,292.58,59.0,0.0,1011.0
48,2012,277,1200,291.76,68.0,0.0,1010.0
49,2012,277,1300,292.17,64.0,0.0,1010.0
50,2012,277,1400,292.03,60.0,0.0,1011.0
51,2012,277,1500,295.613333333,54.0,0.0,1011.0
52,2012,277,1600,299.196666667,49.0,0.0,1011.0
53,2012,277,1700,302.78,44.0,0.0,1012.0
54,2012,277,1800,304.45,45.0,1.0,1012.0
55,2012,277,1900,305.31,51.0,3.0,1011.0
56,2012,277,2000,305.88,51.0,4.0,1011.0
57,2012,277,2100,305.16,45.0,3.0,1010.0
58,2012,277,2200,303.63,53.0,2.0,1010.0
59,2012,277,2300,302.1,61.0,2.0,1010.0
60,2012,278,0,302.17,51.0,2.0,1010.0
61,2012,278,100,300.28,54.0,2.0,1010.0
62,2012,278,200,297.77,65.0,0.0,1010.0
63,2012,278,300,296.63,73.0,0.0,1011.0
64,2012,278,400,294.99,73.0,0.0,1011.0
65,2012,278,500,294.41,78.0,0.0,1012.0
66,2012,278,600,293.98,78.0,1.0,1012.0
67,2012,278,700,293.51,88.0,0.0,1011.0
68,2012,278,800,292.4,83.0,0.0,1012.0
69,2012,278,900,292.26,88.0,0.0,1012.0
70,2012,278,1000,292.17,83.0,0.0,1012.0
71,2012,278,1100,291.34,88.0,0.0,1013.0
72,2012,278,1200,290.99,88.0,0.0,1013.0
73,2012,278,1300,290.84,88.0,0.0,1014.0
74,2012,278,1400,290.72,94.0,0.0,1014.0
75,2012,278,1500,293.68,94.0,1.0,1015.0
76,2012,278,1600,295.81,94.0,0.0,1015.0
77,2012,278,1700,298.19,83.0,1.0,1016.0
78,2012,278,1800,299.09,69.0,0.0,1016.0
79,2012,278,1900,300.77,61.0,2.0,1015.0
80,2012,278,2000,301.4,61.0,3.0,1015.0
81,2012,278,2100,301.91,54.0,3.0,1015.0
82,2012,278,2200,301.15,61.0,5.0,1015.0
83,2012,278,2300,299.48,65.0,4.0,1015.0
84,2012,279,0,298.41,73.0,4.0,1015.0
85,2012,279,100,296.68,73.0,3.0,1015.0
86,2012,279,200,295.18,78.0,3.0,1016.0
87,2012,279,300,294.22,83.0,2.0,1016.0
88,2012,279,400,293.25,78.0,2.0,1016.0
89,2012,279,500,292.5,83.0,2.0,1017.0
90,2012,279,600,292.16,83.0,2.0,1017.0
91,2012,279,700,291.745,85.0,1.0,1017.0
92,2012,279,800,291.33,88.0,0.0,1018.0
93,2012,279,900,291.21,85.0,0.0,1018.0
94,2012,279,1000,291.09,82.0,0.0,1018.0
95,2012,279,1100,291.15,82.0,0.0,1017.0
96,2012,279,1200,291.11,77.0,2.0,1018.0
97,2012,279,1300,290.93,82.0,0.0,1018.0
98,2012,279,1400,291.01,77.0,0.0,1019.0
99,2012,279,1500,291.91,73.0,1.0,1019.0
100,2012,279,1600,293.47,68.0,1.0,1020.0
101,2012,279,1700,294.93,64.0,0.0,1020.0
102,2012,279,1800,296.18,53.0,1.0,1020.0
103,2012,279,1900,296.78,53.0,5.0,1020.0
104,2012,279,2000,297.1,57.0,4.0,1020.0
105,2012,279,2100,297.44,53.0,4.0,1019.0
106,2012,279,2200,296.96,53.0,4.0,1019.0
107,2012,279,2300,296.72,64.0,0.0,1017.0
108,2012,280,0,295.73,64.0,4.0,1018.0
109,2012,280,100,294.24,68.0,3.0,1018.0
110,2012,280,200,293.14,77.0,2.0,1019.0
111,2012,280,300,292.19,73.0,3.0,1018.0
112,2012,280,400,291.74,73.0,2.0,1019.0
113,2012,280,500,290.88,77.0,2.0,1019.0
114,2012,280,600,290.55,72.0,0.0,1019.0
115,2012,280,700,290.36,87.0,0.0,1019.0
116,2012,280,800,290.595,82.0,0.0,1018.0
117,2012,280,900,290.83,77.0,0.0,1018.0
118,2012,280,1000,290.99,72.0,1.0,1018.0
119,2012,280,1100,291.16,68.0,0.0,1018.0
