year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,177,100.0,TESLA,"",Miscellaneous,0.1,A,37.665119,-121.7329
2006,197,1600.0,MAIN,"","Equipment Use",0.5,B,37.593561,-121.8914
2006,213,1700.0,VALLECITOS,"",Miscellaneous,1.0,B,37.597914,-121.927236
2006,255,400.0,EVORA,"",Miscellaneous,5.0,B,38.02395,-121.9833
2006,267,1600.0,EVORA,"","Equipment Use",6.0,B,38.014889,-121.9987
2006,304,1500.0,"UNNAMED FIRE 0226","",Miscellaneous,0.1,A,37.5944,-121.8888
2007,16,1300.0,"UNNAMED FIRE 1630","",Miscellaneous,0.1,A,37.040961,-122.228939
2007,26,200.0,"UNNAMED FIRE 1340","",Children,0.1,A,37.197547,-122.400439
2007,42,1000.0,"UNNAMED FIRE 1341","",Children,0.1,A,37.182561,-122.393861
2007,44,2100.0,"UNNAMED FIRE 1445","",Children,0.1,A,37.103608,-121.807
2007,69,1800.0,"UNNAMED FIRE 1446","",Miscellaneous,0.1,A,37.152339,-121.5845
2007,69,2100.0,"UNNAMED FIRE 1447","","Equipment Use",0.1,A,37.152961,-121.5818
2007,80,1900.0,"UNNAMED FIRE 1448","",Miscellaneous,0.1,A,37.595869,-121.8864
2007,86,300.0,"UNNAMED FIRE 1342","",Children,0.1,A,37.210842,-122.404803
2007,102,2300.0,"UNNAMED FIRE 1343","",Miscellaneous,0.1,A,36.964839,-122.1048
2007,112,1400.0,"UNNAMED FIRE 1344","",Miscellaneous,0.1,A,37.2597,-122.4132
2007,119,1600.0,"UNNAMED FIRE 1631","",Miscellaneous,0.1,A,36.961453,-122.083547
2007,121,2100.0,"UNNAMED FIRE 1715","",Arson,0.3,B,37.079447,-122.264822
2007,156,2200.0,"UNNAMED FIRE 1839","",Miscellaneous,1.0,B,37.093539,-122.2758
2007,157,1700.0,"UNNAMED FIRE 1840","",Miscellaneous,1.0,B,37.094031,-122.275439
2007,158,1400.0,"UNNAMED FIRE 1841","",Miscellaneous,1.0,B,36.961453,-122.083547
2007,174,2300.0,"UNNAMED FIRE 1662","",Miscellaneous,0.1,A,37.592608,-121.8847
2007,182,1700.0,"UNNAMED FIRE 1987","",Miscellaneous,3.0,B,37.084928,-121.773328
2007,184,1100.0,"UNNAMED FIRE 1345","",Miscellaneous,0.1,A,37.000383,-122.166914
2007,202,1200.0,"UNNAMED FIRE 1842","","Equipment Use",1.0,B,36.971967,-122.10475
2007,203,1500.0,"UNNAMED FIRE 1450","",Miscellaneous,0.1,A,37.152625,-121.58605
2007,246,1400.0,LICK,LICK,Campfire,47760.0,G,37.2083,-121.5011
2007,251,2300.0,"UNNAMED FIRE 1843","",Miscellaneous,1.0,B,36.978869,-122.1356
2007,285,1500.0,"UNNAMED FIRE 1346","","Equipment Use",0.1,A,37.275689,-122.407786
2007,286,1600.0,"UNNAMED FIRE 1452","",Miscellaneous,0.1,A,38.013897,-121.997697
2007,291,500.0,"UNNAMED FIRE 1347","",Arson,0.1,A,37.000639,-122.1806
2007,296,1500.0,"UNNAMED FIRE 1348","",Children,0.1,A,37.084133,-122.268583
2007,324,2300.0,"UNNAMED FIRE 1453","","Equipment Use",0.1,A,37.160581,-121.556647
2007,355,1800.0,"UNNAMED FIRE 1349","",Children,0.1,A,37.019022,-122.2038
2007,357,2100.0,"UNNAMED FIRE 1350","",Miscellaneous,0.1,A,36.988875,-122.159336
2008,153,800.0,COLDWELL,"",Miscellaneous,0.5,B,37.051,-121.774
2006,13,1300.0,PUTAH,"",Miscellaneous,0.1,A,38.633408,-122.288958
2006,169,1400.0,WRIGHTS,"",Miscellaneous,0.1,A,38.401314,-123.0943
2006,176,1200.0,MOUNTAIN,"","Equipment Use",1.0,B,38.568994,-122.638703
2006,198,1500.0,29,"","Equipment Use",550.0,E,38.698328,-122.599464
2006,204,1800.0,STEELE,"","Equipment Use",0.5,B,38.497661,-122.198728
2006,209,1300.0,PARTRICK,"",Arson,8.0,B,38.3272,-122.396222
2006,214,200.0,THOMPSON,"",Miscellaneous,16.0,C,38.480992,-122.030072
2006,215,1500.0,128,"",Miscellaneous,5.0,B,38.492786,-122.125694
2006,235,1600.0,DAMM,"",Miscellaneous,5.0,B,38.5121,-122.103903
2007,10,900.0,"UNNAMED FIRE 3282","",Arson,0.1,A,38.606403,-122.276697
2007,23,1600.0,"UNNAMED FIRE 3284","",Children,0.1,A,38.591075,-122.262342
2007,38,200.0,"UNNAMED FIRE 3285","",Miscellaneous,0.1,A,38.492786,-122.125694
2007,52,1800.0,"UNNAMED FIRE 3286","",Miscellaneous,0.1,A,38.691203,-122.375689
2007,63,900.0,"UNNAMED FIRE 3287","","Equipment Use",0.1,A,38.61845,-122.2892
2007,92,1000.0,"UNNAMED FIRE 3290","","Equipment Use",0.1,A,38.695547,-122.444897
2007,123,1500.0,"UNNAMED FIRE 3292","",Miscellaneous,0.1,A,38.370942,-122.413747
2007,126,1600.0,"UNNAMED FIRE 3535","",Miscellaneous,0.3,B,38.616781,-122.289297
2007,126,2300.0,"UNNAMED FIRE 3536","",Arson,0.3,B,38.537683,-123.279508
2007,131,200.0,"UNNAMED FIRE 3293","",Smoking,0.1,A,38.6061,-122.278411
2007,138,2100.0,"UNNAMED FIRE 3799","",Miscellaneous,450.0,E,38.5121,-122.103903
2007,140,1900.0,"UNNAMED FIRE 3639","",Arson,1.0,B,38.760067,-122.768625
2007,146,1200.0,"UNNAMED FIRE 3471","",Miscellaneous,0.1,A,38.596264,-122.270558
2007,148,2000.0,"UNNAMED FIRE 3472","",Arson,0.1,A,38.5121,-122.103903
2007,153,1200.0,"UNNAMED FIRE 3294","",Miscellaneous,0.1,A,38.591075,-122.262342
2007,161,1000.0,"UNNAMED FIRE 3537","",Miscellaneous,0.3,B,38.379767,-122.397175
2007,169,2100.0,"UNNAMED FIRE 3473","",Miscellaneous,0.1,A,38.5121,-122.103903
2007,176,1200.0,"UNNAMED FIRE 3538","",Miscellaneous,0.3,B,38.5121,-122.103903
2007,176,1700.0,"UNNAMED FIRE 3788","",Miscellaneous,50.0,C,38.565397,-122.625783
2007,176,1900.0,"UNNAMED FIRE 3296","",Miscellaneous,0.1,A,38.377197,-122.425622
2007,181,0.0,"UNNAMED FIRE 3644","",Miscellaneous,1.0,B,38.492786,-122.125694
2007,181,0.0,"UNNAMED FIRE 3643","",Miscellaneous,1.0,B,38.492786,-122.125692
2007,182,1800.0,"UNNAMED FIRE 3539","",Miscellaneous,0.3,B,38.616781,-122.289297
2007,184,1600.0,"UNNAMED FIRE 3645","",Miscellaneous,1.0,B,38.670328,-123.040522
2007,186,2100.0,"UNNAMED FIRE 3298","",Miscellaneous,0.1,A,38.452653,-123.127803
2007,190,2200.0,"UNNAMED FIRE 3299","",Children,0.1,A,38.5121,-122.103903
2007,194,600.0,"UNNAMED FIRE 3300","",Children,0.1,A,38.654872,-122.596711
2007,198,1300.0,"UNNAMED FIRE 3646","","Equipment Use",1.0,B,38.5121,-122.103903
2007,202,1300.0,"UNNAMED FIRE 3301","",Smoking,0.1,A,38.503422,-122.1995
2007,208,2000.0,"UNNAMED FIRE 3302","",Miscellaneous,0.1,A,38.624644,-123.3807
2007,210,2000.0,"UNNAMED FIRE 3303","",Children,0.1,A,38.497231,-122.122111
2007,215,1100.0,"UNNAMED FIRE 3304","",Arson,0.1,A,38.616781,-122.289297
2007,221,500.0,"UNNAMED FIRE 3306","",Miscellaneous,0.1,A,38.443675,-122.353108
