,year,doy,hourmin,temperature,humidity,wind,pressure
0,2012,275,1200,,,,
1,2012,275,1300,289.48,88.0,2.0,1009.0
2,2012,275,1400,289.474992813,87.0,2.0,1009.0
3,2012,275,1500,289.460618112,86.0,2.0,1009.0
4,2012,275,1600,289.446243412,85.0,2.0,1009.0
5,2012,275,1700,289.431868711,84.0,2.0,1009.0
6,2012,275,1800,289.417494011,83.0,2.0,1010.0
7,2012,275,1900,289.40311931,82.0,2.0,1010.0
8,2012,275,2000,289.388744609,81.0,1.0,1010.0
9,2012,275,2100,289.374369909,80.0,1.0,1010.0
10,2012,275,2200,289.359995208,79.0,1.0,1011.0
11,2012,275,2300,289.34562050799997,78.0,1.0,1011.0
12,2012,276,0,289.331245807,77.0,1.0,1011.0
13,2012,276,100,289.316871107,76.0,1.0,1011.0
14,2012,276,200,289.302496406,75.0,1.0,1012.0
15,2012,276,300,289.28812170599997,74.0,1.0,1012.0
16,2012,276,400,289.273747005,73.0,1.0,1012.0
17,2012,276,500,289.259372305,72.0,0.0,1012.0
18,2012,276,600,289.244997604,71.0,0.0,1013.0
19,2012,276,700,289.23062290400003,70.0,0.0,1013.0
20,2012,276,800,289.216248203,69.0,0.0,1013.0
21,2012,276,900,289.201873503,68.0,0.0,1013.0
22,2012,276,1000,289.187498802,67.0,0.0,1014.0
23,2012,276,1100,289.17312410200003,66.0,0.0,1014.0
24,2012,276,1200,289.15874940099997,65.0,0.0,1014.0
25,2012,276,1300,289.144374701,64.0,0.0,1014.0
26,2012,276,1400,289.13,63.0,0.0,1015.0
27,2012,276,1500,290.73,51.0,0.0,1016.0
28,2012,276,1600,293.02,56.0,4.0,1011.0
29,2012,276,1700,296.18,94.0,3.0,1001.0
30,2012,276,1800,299.66,70.0,4.0,1009.0
31,2012,276,1900,300.03,83.0,6.0,1000.0
32,2012,276,2000,301.07,75.0,3.0,1007.0
33,2012,276,2100,302.29,75.0,3.0,1007.0
34,2012,276,2200,304.7,18.0,6.0,1013.0
35,2012,276,2300,304.86,11.0,7.0,1013.0
36,2012,277,0,304.08,15.0,7.0,1012.0
37,2012,277,100,302.69,18.0,7.0,1012.0
