,year,doy,hourmin,San Francisco,Los Angeles,San Diego
0,2012,275,1200,,,
1,2012,275,1300,289.48,291.87,291.53
2,2012,275,1400,289.474992813,291.86818552200003,291.533500952
3,2012,275,1500,289.460618112,291.86284445900003,291.54335507900004
4,2012,275,1600,289.446243412,291.857503395,291.55320920599996
5,2012,275,1700,289.431868711,291.85216233200003,291.563063333
6,2012,275,1800,289.417494011,291.846821268,291.57291746
7,2012,275,1900,289.40311931,291.841480205,291.582771587
8,2012,275,2000,289.388744609,291.83613914200004,291.592625714
9,2012,275,2100,289.374369909,291.830798078,291.602479841
10,2012,275,2200,289.359995208,291.825457015,291.612333968
11,2012,275,2300,289.34562050799997,291.820115951,291.622188095
12,2012,276,0,289.331245807,291.814774888,291.632042222
13,2012,276,100,289.316871107,291.809433824,291.64189634900004
14,2012,276,200,289.302496406,291.804092761,291.65175047599996
15,2012,276,300,289.28812170599997,291.798751698,291.661604603
16,2012,276,400,289.273747005,291.793410634,291.67145873
17,2012,276,500,289.259372305,291.788069571,291.681312857
18,2012,276,600,289.244997604,291.782728507,291.691166984
19,2012,276,700,289.23062290400003,291.777387444,291.701021111
20,2012,276,800,289.216248203,291.772046381,291.71087523799997
21,2012,276,900,289.201873503,291.766705317,291.720729365
22,2012,276,1000,289.187498802,291.761364254,291.730583492
23,2012,276,1100,289.17312410200003,291.75602319,291.74043761900003
24,2012,276,1200,289.15874940099997,291.750682127,291.75029174599996
25,2012,276,1300,289.144374701,291.745341063,291.760145873
26,2012,276,1400,289.13,291.74,291.77
27,2012,276,1500,290.73,293.97,294.91
28,2012,276,1600,293.02,295.59,296.3
29,2012,276,1700,296.18,297.93,300.13
30,2012,276,1800,299.66,303.83,303.98
31,2012,276,1900,300.03,305.03,303.9
32,2012,276,2000,301.07,306.12,304.22
33,2012,276,2100,302.29,307.66,302.81
34,2012,276,2200,304.7,307.71,303.38
35,2012,276,2300,304.86,306.87,301.85
36,2012,277,0,304.08,305.7,301.66
37,2012,277,100,302.69,303.69,299.69
38,2012,277,200,300.52,302.02,298.08
39,2012,277,300,298.56,300.42,297.74
40,2012,277,400,297.94,299.64,295.85
41,2012,277,500,296.95,299.62,295.39
42,2012,277,600,294.14,296.38,294.28
43,2012,277,700,293.46,295.2,294.02
44,2012,277,800,293.32,295.2,293.74
45,2012,277,900,292.39,294.66,293.23
46,2012,277,1000,291.96,294.22,292.75
47,2012,277,1100,291.52,293.86,292.58
48,2012,277,1200,291.135,293.235,291.76
49,2012,277,1300,290.75,292.61,292.17
50,2012,277,1400,290.26,292.44,292.03
51,2012,277,1500,292.67,295.15,295.613333333
52,2012,277,1600,295.08,297.86,299.196666667
53,2012,277,1700,297.49,300.57,302.78
54,2012,277,1800,299.48,303.11,304.45
55,2012,277,1900,301.24,304.07,305.31
56,2012,277,2000,302.04,304.01,305.88
57,2012,277,2100,303.25,304.76,305.16
58,2012,277,2200,302.875,304.18,303.63
59,2012,277,2300,302.5,303.6,302.1
60,2012,278,0,302.81,302.31,302.17
61,2012,278,100,301.91,300.72,300.28
62,2012,278,200,299.96,299.11,297.77
63,2012,278,300,297.82,297.84,296.63
64,2012,278,400,296.56,296.17,294.99
65,2012,278,500,296.01,294.99,294.41
66,2012,278,600,294.68,294.18,293.98
67,2012,278,700,293.92,293.97,293.51
68,2012,278,800,293.67,293.13,292.4
69,2012,278,900,293.41,292.96,292.26
70,2012,278,1000,291.81,292.28,292.17
71,2012,278,1100,291.16,291.78,291.34
72,2012,278,1200,290.4,291.46,290.99
73,2012,278,1300,289.99,291.35,290.84
74,2012,278,1400,290.19,291.32,290.72
75,2012,278,1500,291.28,292.95,293.68
76,2012,278,1600,294.26,294.17,295.81
77,2012,278,1700,296.75,296.46,298.19
78,2012,278,1800,297.74,298.03,299.09
79,2012,278,1900,298.64,299.04,300.77
80,2012,278,2000,299.51,299.86,301.4
81,2012,278,2100,298.97,300.01,301.91
82,2012,278,2200,298.47,300.41,301.15
83,2012,278,2300,296.57,299.45,299.48
84,2012,279,0,294.64,298.36,298.41
85,2012,279,100,293.22,297.33,296.68
86,2012,279,200,291.24,295.26,295.18
87,2012,279,300,290.38,294.26,294.22
88,2012,279,400,289.76,293.47,293.25
89,2012,279,500,289.43,292.57,292.5
90,2012,279,600,289.25,291.04,292.16
91,2012,279,700,288.91,290.005,291.745
92,2012,279,800,288.57,288.97,291.33
93,2012,279,900,288.42,289.275,291.21
94,2012,279,1000,288.27,289.58,291.09
95,2012,279,1100,288.24,289.67,291.15
96,2012,279,1200,288.22,289.82,291.11
97,2012,279,1300,288.6,290.25,290.93
98,2012,279,1400,289.02,290.41,291.01
99,2012,279,1500,288.61,290.65,291.91
100,2012,279,1600,289.41,291.79,293.47
101,2012,279,1700,290.09,292.51,294.93
