,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
44054,2017,298,800,301.47,36.0,1014.0,1.0,F
1477,2012,339,1000,289.26,87.0,1019.0,1.0,F
5556,2013,154,400,292.39,77.0,1009.0,0.0,F
26435,2015,294,2100,300.26,57.0,1012.0,5.0,F
10957,2014,14,1400,283.86,44.0,1025.0,0.0,F
8924,2013,294,2100,300.39,33.0,1011.0,1.0,F
36144,2016,334,1600,284.75,76.0,1016.0,1.0,F
22923,2015,148,1300,284.38,83.0,1027.0,0.0,F
10251,2013,350,400,289.15,29.0,1020.0,1.0,F
11957,2014,56,800,286.36,82.0,1017.0,0.0,F
38032,2017,47,800,278.79,78.0,964.0,1.0,F
35338,2016,301,200,288.42,73.0,962.0,0.0,F
43228,2017,263,2000,296.95,47.0,1013.0,2.0,F
7213,2013,223,1400,288.59,92.0,1016.0,1.0,F
34990,2016,286,1400,281.59,83.0,963.0,0.0,F
21507,2015,89,1300,282.07,74.0,1029.0,1.0,F
11581,2014,40,1400,285.21,76.0,1022.0,0.0,F
44459,2017,315,500,288.91,82.0,1016.0,0.0,F
43916,2017,292,1300,291.22,82.0,1012.0,0.0,F
16754,2014,256,1200,293.25,71.0,1022.0,1.0,F
2041,2012,363,200,286.02,54.0,1014.0,1.0,F
31513,2016,141,1400,287.83,67.0,1011.0,2.0,F
23371,2015,167,500,292.56,81.0,1023.0,0.0,F
38238,2017,55,2200,288.22,30.0,1021.0,4.0,F
34704,2016,274,1600,299.16,45.0,1017.0,1.0,F
17767,2014,298,1700,292.49,48.0,1030.0,0.0,F
30476,2016,98,900,289.46,77.0,1018.0,0.0,F
3791,2013,74,1000,285.84,93.0,1018.0,0.0,F
1537,2012,341,2200,291.75,72.0,1017.0,0.0,F
3514,2013,61,300,290.22,42.0,1025.0,0.0,F
22500,2015,130,2200,297.48,44.0,1026.0,1.0,F
34169,2016,252,900,291.71,77.0,1019.0,2.0,F
349,2012,290,800,292.45,63.0,1014.0,0.0,F
37004,2017,4,1200,281.39,93.0,1018.0,7.0,F
1117,2012,324,600,288.82,93.0,1019.0,2.0,F
19755,2015,16,1300,273.7,79.0,1037.0,1.0,F
15212,2014,192,600,292.62,74.0,1012.0,0.0,F
17189,2014,274,1500,290.9,62.0,1021.0,0.0,F
36965,2017,2,2100,285.14,76.0,1019.0,2.0,F
38781,2017,78,1300,285.98,87.0,1017.0,1.0,F
23914,2015,189,2000,296.36,64.0,1012.0,2.0,F
