,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
0,2016,78,600,289.15,82.0,1014.0,2.0,F
1,2017,120,900,288.89,51.0,1018.0,1.0,F
2,2016,16,1900,287.96,59.0,1022.0,0.0,F
3,2015,93,2000,294.66,37.0,1030.0,0.0,F
4,2014,6,400,287.53,34.0,1009.0,1.0,F
5,2014,39,1400,283.46,76.0,1023.0,0.0,F
6,2014,293,1500,289.12,73.0,1025.0,1.0,F
7,2015,163,100,294.94,69.0,953.0,1.0,F
8,2017,23,600,285.44,93.0,1013.0,1.0,F
9,2016,313,500,290.96,100.0,1018.0,0.0,F
10,2016,365,300,292.93,30.0,1018.0,1.0,F
11,2014,313,1600,291.18,33.0,1027.0,1.0,F
12,2017,122,700,290.88,77.0,1013.0,1.0,F
13,2016,319,1800,298.26,18.0,1020.0,1.0,F
14,2016,79,1000,287.2,87.0,1016.0,0.0,F
15,2015,184,1300,291.11,100.0,1015.0,2.0,F
16,2013,314,1600,285.24,81.0,1019.0,1.0,F
17,2016,57,100,297.37,27.0,1017.0,3.0,F
18,2014,109,1800,292.62,56.0,1016.0,0.0,F
19,2015,118,200,294.6,20.0,1025.0,0.0,F
20,2015,299,2000,300.54,26.0,1026.0,0.0,F
21,2012,276,1000,291.76,88.0,1013.0,0.0,F
22,2015,315,700,285.44,59.0,1022.0,1.0,F
23,2015,35,1900,292.42,48.0,1033.0,1.0,F
24,2013,320,2200,289.92,61.0,1010.0,0.0,F
25,2012,276,1400,291.74,88.0,1013.0,0.0,F
26,2013,210,100,297.63,58.0,1012.0,1.0,F
27,2012,276,1600,295.59,23.0,1014.0,0.0,F
28,2016,182,1700,299.13,73.0,1012.0,3.0,F
29,2016,160,2200,302.22,54.0,1010.0,1.0,F
30,2016,296,700,282.56,52.0,959.0,0.0,F
31,2014,77,1400,285.92,72.0,1010.0,0.0,F
32,2017,2,1800,283.89,76.0,1019.0,4.0,F
33,2015,167,900,288.63,89.0,1024.0,0.0,F
34,2014,274,1600,290.22,59.0,1022.0,0.0,F
35,2013,231,700,291.61,69.0,1011.0,0.0,T
36,2013,359,1900,296.3,14.0,1021.0,0.0,F
37,2015,266,1900,301.82,54.0,1013.0,0.0,F
38,2016,198,100,302.48,35.0,959.0,1.0,F
39,2017,119,1600,295.08,10.0,1016.0,2.0,F
40,2012,277,500,299.62,53.0,1010.0,0.0,F
41,2012,277,600,296.38,60.0,1010.0,0.0,F
42,2016,330,2100,296.13,11.0,1017.0,1.0,F
43,2012,277,800,295.2,24.0,1011.0,0.0,F
44,2012,277,900,294.66,53.0,1010.0,0.0,F
45,2016,122,1000,285.64,77.0,1011.0,1.0,F
46,2015,73,1900,299.74,19.0,1032.0,1.0,F
47,2015,363,700,278.65,75.0,1011.0,1.0,F
48,2017,39,400,288.52,100.0,1020.0,1.0,F
49,2014,36,700,283.81,71.0,1019.0,0.0,F
50,2016,286,2100,295.41,49.0,963.0,1.0,F
51,2014,255,1100,291.05,71.0,1023.0,1.0,F
52,2015,280,1200,288.96,82.0,1017.0,0.0,T
53,2012,277,1800,303.11,24.0,1011.0,0.0,F
