,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
5724,2016,204,1100,294.06,68.0,1013.0,0.0,F
1591,2014,50,2000,290.77,63.0,1015.0,2.0,F
3788,2013,64,1200,285.3,87.0,1017.0,0.0,F
2496,2014,96,1500,286.52,54.0,1019.0,0.0,F
2988,2014,45,1100,285.35,81.0,1017.0,0.0,F
633,2017,114,0,295.47,52.0,1011.0,5.0,F
396,2015,320,800,286.12,32.0,1013.0,5.0,F
4213,2017,21,2000,286.26,62.0,1014.0,1.0,F
3097,2017,332,1300,282.64,81.0,1014.0,1.0,F
460,2014,166,2300,296.58,43.0,1008.0,1.0,F
374,2012,277,1600,297.86,49.0,1010.0,0.0,F
4750,2015,71,1700,288.1,64.0,1033.0,1.0,F
772,2013,117,200,291.21,55.0,1017.0,2.0,F
4865,2016,338,1400,279.83,42.0,1020.0,2.0,F
5459,2017,99,300,287.65,62.0,1015.0,5.0,F
3071,2013,56,2200,292.02,17.0,1018.0,1.0,F
5237,2013,202,1700,294.63,65.0,1011.0,1.0,F
1631,2016,52,700,285.8,82.0,1019.0,1.0,F
2045,2016,301,500,287.08,69.0,962.0,1.0,F
2209,2014,319,0,288.51,76.0,1028.0,0.0,F
5491,2017,319,1900,294.35,35.0,1015.0,1.0,F
4889,2014,336,0,287.61,79.0,1031.0,0.0,F
3282,2017,227,1700,293.2,64.0,1013.0,3.0,F
4788,2014,128,2300,293.51,54.0,1014.0,1.0,F
3399,2016,184,1700,296.35,68.0,1016.0,1.0,F
2937,2012,311,2000,306.01,8.0,1016.0,0.0,F
4636,2013,165,400,290.63,89.0,1015.0,0.0,F
3708,2015,345,800,288.97,77.0,1012.0,1.0,F
1109,2016,28,1400,281.61,40.0,1022.0,1.0,F
3005,2016,100,300,288.62,87.0,1014.0,1.0,F
979,2017,6,1400,283.7,93.0,1017.0,0.0,F
4622,2017,177,0,304.35,64.0,1012.0,5.0,F
2394,2016,84,500,290.04,45.0,1020.0,1.0,F
5277,2014,339,300,285.0,92.0,1030.0,0.0,F
1496,2015,140,400,286.43,74.0,1027.0,0.0,F
2206,2015,180,800,295.72,68.0,1012.0,0.0,F
1032,2016,29,1400,282.6,57.0,1020.0,0.0,F
291,2016,214,2000,303.7,61.0,1015.0,5.0,F
2392,2015,42,1400,277.95,51.0,1030.0,1.0,F
