,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
0,2014,4,1200,284.99,54.0,1025.0,1.0,F
1,2017,298,1200,296.05,30.0,1013.0,1.0,F
2,2013,243,1300,295.64,85.0,1027.0,1.0,F
3,2014,87,900,283.56,87.0,1020.0,1.0,F
4,2015,187,1600,291.81,82.0,1018.0,2.0,F
5,2012,275,1800,291.57,80.0,1013.0,0.0,F
6,2017,297,200,303.6,13.0,1016.0,3.0,F
7,2013,281,200,293.43,89.0,1023.0,0.0,F
8,2016,306,1900,292.99,59.0,1018.0,4.0,F
9,2015,299,1500,290.1,60.0,1026.0,1.0,F
10,2014,281,1300,290.23,68.0,1024.0,1.0,F
11,2014,25,600,289.18,54.0,1023.0,1.0,F
12,2016,281,2000,303.36,28.0,988.0,1.0,F
13,2014,362,0,280.45,40.0,1039.0,1.0,F
14,2015,238,1800,301.06,73.0,1016.0,2.0,T
15,2012,276,400,291.67,76.0,1013.0,0.0,F
16,2016,340,200,286.68,77.0,1016.0,1.0,F
17,2016,36,1800,292.67,24.0,1027.0,1.0,F
18,2015,192,1600,293.01,64.0,1015.0,2.0,F
19,2013,305,1000,278.83,68.0,1031.0,1.0,T
20,2016,165,1200,285.42,86.0,1018.0,1.0,F
21,2016,166,100,291.18,67.0,1016.0,2.0,F
22,2014,110,1900,294.33,68.0,1019.0,4.0,F
23,2015,106,600,284.55,57.0,1026.0,1.0,F
24,2015,299,1600,288.18,60.0,1027.0,1.0,F
25,2016,218,2100,300.93,53.0,1012.0,0.0,F
26,2014,152,1500,289.36,100.0,1022.0,0.0,F
27,2016,234,1400,291.82,88.0,1014.0,3.0,F
28,2015,328,1600,285.6,64.0,1015.0,1.0,F
29,2013,241,1800,301.55,42.0,1009.0,1.0,T
30,2012,276,1900,303.9,57.0,1013.0,4.0,F
31,2017,103,2300,293.3,52.0,1017.0,7.0,F
32,2014,325,1700,287.31,82.0,1028.0,0.0,F
33,2016,248,700,290.05,68.0,1012.0,3.0,F
34,2015,23,0,286.6,45.0,1037.0,2.0,F
35,2012,277,0,301.66,61.0,1009.0,5.0,T
36,2016,106,300,288.81,68.0,1014.0,3.0,F
37,2017,139,2000,300.72,15.0,1013.0,4.0,F
38,2012,277,300,297.74,61.0,1010.0,1.0,F
39,2017,210,2300,298.24,69.0,1017.0,5.0,F
40,2017,140,1200,288.23,36.0,1013.0,1.0,F
41,2015,236,2000,300.74,65.0,1015.0,2.0,F
42,2017,20,0,288.52,82.0,1014.0,4.0,F
43,2014,211,2000,302.5,61.0,1015.0,3.0,F
44,2014,232,1800,294.4,75.0,1025.0,1.0,F
45,2017,136,1900,290.06,55.0,1019.0,5.0,F
46,2012,277,1100,292.58,59.0,1011.0,0.0,F
47,2015,240,2200,305.19,38.0,1011.0,3.0,F
48,2017,279,500,290.91,93.0,1012.0,1.0,F
49,2017,35,1700,287.96,77.0,1021.0,1.0,F
50,2013,320,300,289.87,82.0,1008.0,3.0,F
51,2015,221,1400,292.71,77.0,1015.0,2.0,F
52,2014,241,2300,304.03,39.0,1022.0,1.0,F
53,2017,42,2100,289.24,67.0,1020.0,4.0,F
54,2014,358,2200,291.76,41.0,1029.0,1.0,F
55,2013,363,1000,280.68,54.0,1026.0,0.0,T
56,2012,277,2100,305.16,45.0,1010.0,3.0,F
57,2016,161,200,295.72,69.0,1011.0,1.0,F
58,2017,101,2100,294.4,49.0,1016.0,4.0,F
59,2014,41,300,285.93,82.0,1020.0,2.0,F
60,2017,232,500,292.3,77.0,1014.0,3.0,F
61,2017,292,600,292.05,82.0,1014.0,1.0,F
62,2016,91,1000,282.41,100.0,1018.0,1.0,F
63,2013,290,1100,287.09,74.0,1026.0,1.0,F
64,2016,219,1700,299.3,62.0,1012.0,1.0,F
65,2017,130,1100,289.24,72.0,1017.0,2.0,F
66,2016,68,1000,280.8,100.0,1011.0,1.0,F
67,2014,7,2000,292.2,54.0,1029.0,0.0,F
68,2014,268,1600,296.65,68.0,1026.0,1.0,F
69,2017,226,2000,297.15,57.0,1014.0,2.0,F
70,2015,166,1200,290.5,88.0,1022.0,1.0,F
71,2014,341,2300,294.71,52.0,1032.0,1.0,F
72,2017,280,600,291.68,39.0,1012.0,1.0,F
73,2012,278,1400,290.72,94.0,1014.0,0.0,F
74,2012,278,1500,293.68,94.0,1015.0,1.0,F
75,2015,316,900,283.96,54.0,1021.0,1.0,F
76,2014,265,2200,301.25,53.0,1025.0,2.0,F
77,2013,236,500,293.33,62.0,1010.0,1.0,F
78,2016,114,300,291.12,72.0,1016.0,4.0,F
79,2015,81,2000,293.04,59.0,1034.0,2.0,F
80,2012,278,2100,301.91,54.0,1015.0,3.0,F
81,2017,119,1000,287.15,77.0,1011.0,1.0,F
82,2015,76,1000,284.76,54.0,1026.0,1.0,F
83,2012,279,0,298.41,73.0,1015.0,4.0,F
84,2016,76,300,289.33,82.0,1014.0,0.0,F
85,2015,130,400,284.5,81.0,1029.0,1.0,F
86,2014,154,2200,300.34,100.0,1020.0,2.0,F
87,2015,240,1800,305.25,52.0,1013.0,2.0,T
88,2014,193,1100,292.29,91.0,1013.0,1.0,F
89,2012,279,600,292.16,83.0,1017.0,2.0,F
90,2014,48,0,294.21,63.0,1016.0,3.0,F
91,2016,355,2000,296.64,27.0,1021.0,2.0,F
92,2016,326,100,289.9,72.0,1015.0,2.0,F
93,2017,323,1800,291.64,45.0,1018.0,1.0,F
94,2017,166,2300,299.57,47.0,1013.0,3.0,F
95,2016,213,1300,293.77,83.0,1013.0,0.0,F
96,2017,142,1600,289.89,68.0,1016.0,1.0,F
97,2017,61,400,286.25,67.0,1023.0,1.0,F
98,2015,20,1600,280.58,66.0,1030.0,1.0,F
99,2016,247,1700,293.31,68.0,1014.0,3.0,F
100,2014,184,1400,291.97,88.0,1012.0,1.0,F
101,2016,42,400,291.73,33.0,1020.0,2.0,F
102,2013,324,100,287.8,90.0,1014.0,1.0,F
103,2016,105,1100,288.43,93.0,1016.0,1.0,F
104,2017,316,100,291.93,72.0,1016.0,3.0,F
105,2014,87,1000,283.82,81.0,1020.0,1.0,F
106,2015,365,1800,287.5,47.0,1021.0,1.0,T
107,2016,128,1300,285.8,72.0,1015.0,2.0,F
108,2013,279,100,297.61,50.0,1008.0,2.0,F
109,2017,285,1000,291.54,77.0,1013.0,1.0,F
110,2013,184,1600,293.43,77.0,1016.0,3.0,F
111,2012,280,400,291.74,73.0,1019.0,2.0,F
112,2013,204,900,290.23,94.0,1012.0,1.0,F
113,2015,109,100,294.12,35.0,1026.0,2.0,F
114,2017,32,600,282.72,93.0,1020.0,1.0,F
115,2017,237,1600,292.65,77.0,1010.0,0.0,F
116,2012,280,900,290.83,77.0,1018.0,0.0,F
117,2015,349,400,284.43,64.0,1014.0,1.0,F
118,2016,145,500,287.93,59.0,1015.0,3.0,F
119,2014,11,600,285.16,54.0,1029.0,0.0,F
120,2016,279,1900,295.42,55.0,978.0,2.0,F
121,2014,117,800,285.15,76.0,1017.0,0.0,F
122,2012,280,1500,291.05,72.0,1018.0,2.0,F
123,2014,178,2200,296.79,70.0,1018.0,3.0,F
124,2013,340,1300,277.9,80.0,1019.0,1.0,F
125,2016,362,400,285.24,32.0,1023.0,1.0,F
126,2012,280,1900,296.69,56.0,1018.0,2.0,F
127,2014,217,1200,291.74,93.0,1016.0,1.0,F
128,2014,282,900,284.4,85.0,1024.0,1.0,F
129,2012,280,2200,295.11,60.0,1016.0,4.0,F
130,2016,162,800,289.46,96.0,1014.0,0.0,F
131,2015,281,1400,291.0,93.0,1017.0,2.0,F
132,2015,52,0,288.65,73.0,1026.0,1.0,F
133,2013,236,2300,300.21,71.0,1015.0,1.0,F
134,2014,37,600,282.64,71.0,1019.0,0.0,F
135,2013,297,1600,285.16,92.0,1028.0,1.0,F
136,2012,281,500,290.48,77.0,1015.0,0.0,F
137,2017,79,2000,290.64,52.0,1020.0,3.0,F
138,2017,194,600,294.33,78.0,1016.0,2.0,F
139,2014,315,1900,288.76,69.0,1026.0,1.0,F
140,2014,360,2000,285.51,44.0,1031.0,1.0,F
141,2016,197,900,285.85,93.0,981.0,0.0,F
142,2012,281,1100,288.47,82.0,1014.0,0.0,F
143,2017,194,1300,293.48,77.0,1017.0,0.0,F
144,2016,71,300,289.81,90.0,1017.0,2.0,F
145,2016,64,1100,286.51,77.0,1017.0,1.0,F
146,2016,240,600,291.7,68.0,1016.0,2.0,F
147,2012,281,1600,291.79,72.0,1015.0,0.0,F
148,2014,126,800,288.27,100.0,1024.0,1.0,F
149,2015,284,800,295.11,94.0,1013.0,1.0,F
150,2014,159,300,290.84,100.0,1019.0,0.0,F
151,2017,46,100,291.96,58.0,983.0,1.0,F
152,2017,271,200,297.22,73.0,1011.0,3.0,F
153,2016,180,500,294.17,82.0,1014.0,1.0,F
154,2012,281,2300,297.28,64.0,1013.0,3.0,F
155,2013,215,2000,297.15,54.0,1012.0,2.0,F
156,2015,285,700,296.17,54.0,1014.0,0.0,F
157,2012,282,200,294.08,78.0,1013.0,1.0,F
158,2015,147,2200,293.88,69.0,1026.0,2.0,F
159,2016,190,600,291.28,77.0,1016.0,3.0,F
160,2012,282,500,292.09,78.0,1014.0,0.0,F
161,2012,282,600,291.65,83.0,1014.0,0.0,F
162,2012,282,700,291.24,83.0,1014.0,0.0,F
163,2015,313,1500,285.88,82.0,1016.0,2.0,F
164,2016,125,300,289.5,77.0,1014.0,2.0,F
165,2014,53,1400,282.61,54.0,1013.0,0.0,F
166,2015,273,2200,301.4,57.0,1010.0,5.0,F
167,2016,79,1400,287.69,82.0,1016.0,2.0,F
168,2015,254,1000,297.19,74.0,1011.0,1.0,F
169,2013,242,2100,301.18,46.0,1011.0,2.0,F
170,2016,111,2300,300.15,21.0,1012.0,6.0,F
171,2016,210,2000,302.16,61.0,1013.0,4.0,F
172,2013,255,1000,291.39,86.0,1009.0,2.0,F
173,2013,216,1000,288.93,87.0,1013.0,0.0,F
174,2016,259,1500,289.28,68.0,1017.0,1.0,F
175,2017,11,500,286.14,82.0,1020.0,1.0,F
176,2013,249,1900,304.15,38.0,1011.0,5.0,F
177,2016,309,100,295.15,31.0,1016.0,2.0,F
178,2014,269,0,299.86,59.0,1024.0,1.0,F
179,2017,50,2200,285.94,97.0,981.0,2.0,F
180,2014,43,200,290.33,68.0,1017.0,1.0,F
181,2015,361,2100,288.27,17.0,1022.0,2.0,F
182,2017,36,1100,285.97,82.0,1017.0,2.0,F
183,2017,228,2200,298.15,53.0,1015.0,3.0,F
184,2014,87,700,283.7,81.0,1020.0,0.0,F
185,2016,241,200,293.94,68.0,1015.0,3.0,F
186,2014,233,1800,295.75,75.0,1026.0,1.0,F
187,2016,190,800,290.88,73.0,1015.0,1.0,F
188,2016,195,1400,289.9,81.0,1017.0,1.0,F
189,2016,263,0,299.15,69.0,1013.0,2.0,F
190,2016,196,200,299.75,53.0,1014.0,0.0,F
191,2015,348,2100,288.06,53.0,1014.0,6.0,F
192,2014,235,800,286.59,86.0,1027.0,0.0,F
193,2015,345,0,291.51,63.0,1015.0,3.0,F
194,2014,40,500,285.12,87.0,1023.0,2.0,F
195,2015,59,800,284.28,98.0,1021.0,3.0,F
196,2014,30,1600,284.47,76.0,1015.0,2.0,F
197,2016,110,400,294.3,46.0,1017.0,1.0,F
198,2016,249,1600,291.62,59.0,1011.0,3.0,F
199,2015,142,2100,287.31,84.0,1029.0,2.0,F
200,2012,283,2100,296.65,53.0,1015.0,6.0,F
201,2017,68,1500,285.06,67.0,1018.0,1.0,F
202,2013,302,1000,284.79,98.0,1027.0,2.0,F
203,2016,28,600,284.47,61.0,1024.0,0.0,F
204,2015,125,1200,285.14,88.0,1027.0,1.0,F
205,2012,284,200,292.38,73.0,1015.0,3.0,F
206,2017,79,1900,289.98,55.0,1021.0,3.0,F
207,2013,292,300,291.5,83.0,1025.0,0.0,F
208,2015,313,100,294.15,37.0,1015.0,4.0,F
209,2016,213,700,294.67,83.0,1013.0,1.0,F
210,2014,336,0,289.15,64.0,1031.0,0.0,F
211,2014,180,900,291.68,88.0,1010.0,0.0,F
212,2014,192,1700,297.26,56.0,1014.0,2.0,F
213,2014,3,2100,294.97,54.0,1024.0,1.0,F
214,2017,93,1500,286.79,87.0,1014.0,1.0,F
215,2017,85,400,289.05,72.0,1018.0,3.0,F
216,2017,194,2200,299.15,57.0,1016.0,6.0,F
217,2016,77,1700,291.61,77.0,1014.0,1.0,F
218,2012,284,1500,291.58,68.0,1017.0,1.0,F
219,2013,199,1500,292.26,77.0,1017.0,2.0,F
220,2013,348,500,280.15,93.0,1023.0,1.0,F
221,2013,281,2200,293.15,52.0,1013.0,3.0,F
222,2016,228,900,297.65,59.0,1013.0,0.0,F
223,2017,191,1300,293.84,100.0,1014.0,0.0,F
224,2015,291,1100,295.15,88.0,1012.0,1.0,F
225,2013,330,200,286.87,74.0,1021.0,1.0,F
226,2013,191,2300,300.33,47.0,1016.0,4.0,F
227,2014,84,2100,289.28,59.0,1016.0,0.0,F
228,2014,228,1300,292.02,85.0,1027.0,1.0,F
