,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
1397,2013,243,500,300.07,53.0,1012.0,1.0,F
950,2015,336,1300,281.06,77.0,1020.0,1.0,F
5987,2017,151,2200,291.56,59.0,1012.0,2.0,F
4894,2014,296,800,283.4,78.0,1027.0,1.0,F
2495,2017,35,500,288.43,87.0,1020.0,1.0,F
1903,2014,313,1900,300.12,24.0,1025.0,1.0,F
1211,2013,282,600,289.85,67.0,1012.0,3.0,F
5577,2016,303,2100,299.81,57.0,981.0,1.0,F
4468,2017,95,700,287.78,82.0,1017.0,1.0,F
4737,2013,223,2000,295.12,54.0,1014.0,1.0,F
2492,2017,216,100,300.16,78.0,1014.0,4.0,F
452,2014,225,1700,297.21,74.0,1027.0,1.0,F
729,2014,233,1500,292.63,82.0,1026.0,1.0,F
4818,2016,15,2200,288.37,71.0,1020.0,1.0,F
1270,2014,150,300,291.5,68.0,1013.0,2.0,F
5405,2013,348,1900,295.15,19.0,1024.0,1.0,F
2905,2013,244,1100,293.72,90.0,1025.0,0.0,F
1067,2015,118,2100,299.02,30.0,1026.0,1.0,F
1554,2016,30,2300,289.82,69.0,1023.0,3.0,F
327,2015,25,200,287.2,32.0,1029.0,2.0,F
5194,2017,180,1600,290.79,72.0,1016.0,1.0,F
4933,2016,323,200,290.23,59.0,1015.0,3.0,F
267,2013,76,2300,291.2,43.0,1013.0,3.0,F
2239,2016,307,1900,294.68,56.0,1018.0,4.0,F
1047,2016,248,500,289.77,72.0,1011.0,2.0,F
2528,2014,326,2000,292.99,47.0,1031.0,2.0,F
2814,2017,72,1200,284.48,93.0,1016.0,2.0,F
5118,2014,84,2100,289.28,59.0,1016.0,0.0,F
5199,2014,69,1500,288.3,25.0,1019.0,0.0,F
5177,2017,80,1300,284.65,71.0,1019.0,3.0,F
4539,2017,80,100,290.06,55.0,1019.0,4.0,F
5485,2016,230,2200,306.07,6.0,1012.0,2.0,F
3241,2015,285,1000,295.71,53.0,1013.0,1.0,F
1181,2016,85,900,284.23,78.0,1015.0,1.0,F
250,2016,155,1000,289.69,82.0,1015.0,0.0,F
3018,2017,279,400,291.99,73.0,1012.0,2.0,F
2965,2014,207,1000,292.61,93.0,1011.0,0.0,F
662,2014,143,800,289.43,72.0,1017.0,1.0,F
5362,2016,73,1300,284.97,100.0,1022.0,1.0,F
2973,2016,122,1400,285.98,82.0,1013.0,3.0,F
4495,2016,309,700,288.53,48.0,1017.0,1.0,F
501,2014,102,1900,291.17,52.0,1015.0,4.0,F
2258,2014,268,1500,296.58,70.0,1026.0,1.0,F
3588,2015,271,1700,298.98,73.0,1013.0,1.0,F
2311,2014,296,1700,295.29,45.0,1028.0,1.0,F
3678,2014,214,100,297.43,67.0,977.0,1.0,F
2062,2015,223,1800,296.19,50.0,1014.0,2.0,F
2283,2012,295,1200,291.72,86.0,1012.0,2.0,F
3185,2015,355,500,282.18,93.0,1023.0,1.0,F
1157,2013,355,2200,288.42,54.0,1024.0,1.0,F
2411,2017,100,2100,294.69,49.0,1017.0,5.0,F
3434,2014,208,900,293.58,78.0,1015.0,2.0,F
