,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
590,2015,195,1900,294.98,77.0,1014.0,8.0,T
5107,2014,164,2100,293.17,75.0,1020.0,1.0,F
2147,2013,26,600,284.72,81.0,1022.0,0.0,F
5592,2017,154,200,297.4,88.0,1009.0,3.0,F
1840,2013,92,1200,285.7,100.0,1019.0,2.0,F
2642,2016,362,2000,282.78,76.0,1022.0,4.0,F
536,2014,182,900,286.1,94.0,1022.0,1.0,T
2269,2013,156,800,285.31,82.0,1016.0,0.0,F
3675,2016,339,800,279.98,93.0,1021.0,2.0,F
5654,2015,144,100,289.37,76.0,1029.0,3.0,F
4596,2014,16,300,288.71,55.0,1021.0,1.0,F
1230,2017,20,1800,284.07,81.0,994.0,4.0,F
5279,2015,128,300,288.19,71.0,1020.0,3.0,F
351,2014,205,1800,293.24,77.0,1027.0,1.0,T
973,2013,264,1200,290.65,84.0,1008.0,1.0,F
3346,2017,113,200,289.46,72.0,1016.0,8.0,F
5930,2016,225,1000,287.2,89.0,1014.0,0.0,F
2687,2016,65,2000,289.06,91.0,1015.0,6.0,F
2001,2016,27,200,285.45,80.0,1022.0,4.0,F
3339,2017,220,300,292.1,82.0,1015.0,7.0,F
1655,2012,299,700,284.21,67.0,1017.0,3.0,F
4771,2016,126,1500,287.6,93.0,1011.0,1.0,F
933,2013,200,2300,299.23,92.0,1017.0,1.0,F
1906,2017,298,1900,295.84,60.0,1014.0,2.0,F
1676,2015,111,900,283.93,100.0,1023.0,3.0,F
2535,2014,342,300,286.74,94.0,1034.0,2.0,F
1752,2017,228,800,287.45,98.0,1018.0,2.0,F
1125,2013,343,1600,275.71,54.0,1028.0,1.0,F
2776,2015,72,1000,284.89,97.0,1034.0,1.0,F
278,2015,181,1500,291.7,82.0,1013.0,3.0,T
2932,2016,24,900,282.99,81.0,1021.0,3.0,F
466,2014,160,1600,292.92,81.0,1006.0,0.0,T
3840,2016,256,2200,292.45,55.0,1012.0,9.0,F
2667,2014,44,1200,283.48,100.0,1022.0,0.0,F
3887,2013,67,400,281.71,66.0,1017.0,3.0,F
4244,2012,362,2200,284.74,66.0,1016.0,11.0,F
5994,2015,67,200,289.09,75.0,1030.0,1.0,F
3704,2017,199,1100,285.76,87.0,1014.0,2.0,F
2128,2016,111,2100,295.95,26.0,1017.0,3.0,F
4860,2015,249,2100,303.07,84.0,1007.0,6.0,F
2115,2013,196,100,297.09,89.0,1014.0,2.0,F
5195,2012,339,1400,280.2,87.0,1021.0,0.0,F
4335,2014,162,700,287.81,99.0,1008.0,2.0,F
1827,2015,310,100,289.82,79.0,1019.0,1.0,F
5854,2017,257,1000,290.89,93.0,1011.0,5.0,F
3566,2014,85,600,285.21,82.0,1012.0,6.0,F
3205,2017,205,1500,288.15,82.0,1011.0,1.0,F
3839,2013,304,2300,288.74,76.0,1033.0,1.0,F
3416,2015,136,2100,287.63,80.0,1029.0,3.0,F
1871,2015,289,1700,291.75,77.0,1014.0,2.0,F
5140,2017,297,600,292.35,60.0,1021.0,2.0,F
5762,2013,35,800,281.44,81.0,1025.0,6.0,F
2761,2016,107,1200,283.81,41.0,1024.0,4.0,F
263,2013,296,1900,290.87,79.0,1008.0,2.0,T
449,2015,204,1200,288.44,77.0,1014.0,5.0,T
3678,2014,286,700,288.96,73.0,1025.0,0.0,F
2376,2013,306,2200,290.07,75.0,1027.0,1.0,F
720,2014,293,2300,291.08,82.0,1027.0,3.0,T
1804,2012,297,1300,285.49,82.0,1007.0,8.0,F
266,2013,287,1700,289.77,87.0,1020.0,1.0,T
5098,2015,293,1000,286.45,87.0,1015.0,1.0,F
2305,2013,251,1900,294.47,68.0,1016.0,1.0,F
1624,2016,282,2100,296.82,43.0,1017.0,0.0,F
1926,2016,191,1400,289.58,87.0,1019.0,4.0,F
3251,2013,51,2300,281.67,61.0,1009.0,10.0,F
910,2016,87,1400,284.64,82.0,1018.0,1.0,F
4728,2015,51,500,284.16,99.0,1032.0,1.0,F
66,2015,174,1700,289.29,80.0,1029.0,1.0,T
1692,2014,89,800,282.94,81.0,1018.0,4.0,F
5935,2015,321,300,285.6,55.0,1021.0,4.0,F
1317,2014,352,1400,283.84,100.0,1033.0,3.0,F
2858,2017,288,700,287.51,69.0,1016.0,1.0,F
102,2013,235,600,288.3,91.0,1014.0,1.0,T
4228,2013,109,1000,283.48,57.0,1024.0,0.0,F
646,2015,191,1500,289.64,77.0,1014.0,2.0,T
4986,2013,320,700,281.74,85.0,1007.0,1.0,F
4197,2015,244,800,288.51,90.0,1019.0,2.0,F
2052,2017,40,1000,290.32,77.0,1016.0,8.0,F
686,2013,135,500,288.89,67.0,1016.0,4.0,T
5219,2015,362,1400,277.83,73.0,1009.0,5.0,F
5310,2013,325,1300,283.95,95.0,1012.0,1.0,F
572,2014,204,600,290.77,77.0,1020.0,2.0,T
5042,2017,210,500,289.59,87.0,1014.0,2.0,F
2583,2012,283,800,286.06,88.0,1013.0,1.0,F
4811,2014,304,900,287.95,98.0,1024.0,3.0,F
5211,2015,290,800,288.72,77.0,1014.0,3.0,F
689,2014,199,1500,289.3,77.0,1016.0,3.0,T
5471,2012,337,200,287.89,82.0,1015.0,5.0,F
3938,2012,333,1100,283.2,87.0,1019.0,0.0,F
830,2014,312,1000,286.09,90.0,1032.0,1.0,F
3567,2016,275,1300,282.68,85.0,1018.0,0.0,F
