,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
3486,2013,56,1600,282.74,43.0,1025.0,4.0,T
23302,2015,156,2000,292.41,66.0,1022.0,3.0,F
30815,2016,104,2100,291.13,41.0,1020.0,3.0,F
11872,2014,43,2000,286.99,93.0,1025.0,2.0,F
29881,2016,65,2300,290.23,38.0,1019.0,4.0,F
13883,2014,127,2000,290.4,56.0,1015.0,2.0,F
25444,2015,246,200,292.57,77.0,1013.0,7.0,F
26298,2015,281,1600,290.95,77.0,1020.0,0.0,F
32068,2016,157,200,297.06,83.0,1009.0,2.0,F
6636,2013,189,2200,298.8,80.0,1010.0,2.0,F
39295,2017,92,600,288.1,81.0,1020.0,2.0,F
25223,2015,236,2100,298.75,56.0,1017.0,8.0,T
9131,2013,293,2100,287.13,23.0,1017.0,1.0,F
28230,2015,362,400,279.88,77.0,1014.0,4.0,F
4819,2013,113,1100,287.1,71.0,1014.0,3.0,F
16349,2014,232,300,291.01,89.0,1023.0,3.0,F
36870,2016,357,500,281.06,71.0,1018.0,2.0,F
16859,2014,253,900,286.22,98.0,1026.0,1.0,F
37347,2017,11,200,287.69,67.0,1021.0,6.0,F
18657,2014,328,700,282.23,100.0,1040.0,1.0,F
37743,2017,27,1400,279.46,70.0,1034.0,3.0,F
793,2012,308,1400,282.3,81.0,1018.0,0.0,F
23734,2015,174,2000,292.32,67.0,1028.0,2.0,F
36003,2016,321,200,288.09,67.0,1019.0,7.0,F
38042,2017,40,100,290.1,82.0,1006.0,1.0,F
42796,2017,238,400,291.28,93.0,1011.0,2.0,F
36755,2016,352,1000,277.89,100.0,1022.0,3.0,F
34848,2016,272,2300,297.64,81.0,1010.0,1.0,F
26947,2015,308,1700,287.04,68.0,1023.0,2.0,F
35743,2016,310,600,285.14,82.0,1020.0,3.0,F
6113,2013,168,300,288.37,95.0,1015.0,2.0,T
2735,2013,24,2300,283.72,81.0,1017.0,5.0,F
38842,2017,73,900,284.64,72.0,1017.0,1.0,F
419,2012,293,0,301.32,26.0,1010.0,5.0,F
24155,2015,192,900,288.77,77.0,1014.0,2.0,T
17656,2014,286,1400,288.14,72.0,1026.0,1.0,F
35317,2016,292,1200,283.69,96.0,1024.0,2.0,F
13146,2014,97,0,295.81,78.0,1007.0,3.0,F
1409,2012,334,1300,286.5,67.0,1013.0,1.0,F
38379,2017,54,200,284.22,82.0,1012.0,2.0,F
14823,2014,168,1300,283.59,93.0,1020.0,1.0,F
33836,2016,230,1900,298.34,82.0,1010.0,0.0,F
7119,2013,210,100,295.17,90.0,1014.0,7.0,F
25345,2015,241,2300,295.5,66.0,1023.0,4.0,F
1714,2012,347,600,282.93,76.0,1020.0,0.0,F
6578,2013,187,1200,287.48,95.0,1007.0,3.0,F
32857,2016,190,0,294.18,79.0,1008.0,5.0,F
10810,2013,363,2000,289.82,55.0,1018.0,1.0,F
7821,2013,239,700,286.58,96.0,1026.0,1.0,F
