,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
4137,2017,142,200,298.97,78.0,1018.0,1.0,F
3956,2015,117,2200,295.16,49.0,1028.0,2.0,F
4709,2016,163,600,287.52,78.0,1012.0,0.0,F
2206,2015,2,1300,276.34,100.0,1035.0,2.0,F
1078,2014,64,1000,287.72,94.0,1009.0,2.0,F
1606,2015,346,1800,285.67,64.0,1022.0,3.0,F
1443,2014,187,200,294.65,44.0,1015.0,1.0,F
1185,2015,264,1200,291.93,49.0,1009.0,0.0,F
3151,2017,47,1600,286.22,96.0,1017.0,5.0,F
2422,2015,155,300,288.18,80.0,1025.0,4.0,F
1118,2016,63,1500,287.66,100.0,1019.0,4.0,F
2084,2015,65,2300,290.44,69.0,1036.0,2.0,F
2020,2017,186,500,291.92,94.0,1019.0,1.0,F
2528,2013,309,2100,288.66,66.0,1035.0,0.0,F
5015,2012,358,1900,284.84,71.0,1015.0,4.0,F
4365,2013,307,1000,282.42,94.0,1028.0,1.0,F
977,2014,7,1900,285.53,55.0,1021.0,1.0,F
4199,2014,85,1700,284.31,82.0,1011.0,3.0,F
4311,2015,158,200,289.42,80.0,1025.0,3.0,F
784,2014,363,500,281.57,100.0,1037.0,2.0,F
1377,2015,329,600,281.0,97.0,1028.0,1.0,F
73,2015,158,1500,287.86,88.0,1026.0,1.0,T
2960,2013,261,1600,291.09,71.0,1011.0,1.0,F
5864,2013,138,1300,284.29,76.0,1016.0,3.0,F
3352,2013,237,600,288.49,91.0,1011.0,1.0,F
1325,2016,248,500,288.16,82.0,1010.0,6.0,F
3162,2017,233,1700,291.54,88.0,1016.0,4.0,F
4520,2013,35,1000,280.99,81.0,1025.0,6.0,F
3326,2016,91,900,284.48,64.0,1017.0,5.0,F
5215,2016,233,600,289.15,87.0,1012.0,1.0,F
5074,2012,340,1800,286.86,76.0,1024.0,3.0,F
3511,2016,257,500,287.77,63.0,1011.0,4.0,F
3392,2013,183,1200,289.69,80.0,1008.0,1.0,F
1108,2016,210,1000,288.89,88.0,1009.0,1.0,F
3475,2013,46,300,283.42,81.0,1024.0,5.0,F
4579,2016,168,600,284.97,82.0,1016.0,0.0,F
1396,2014,279,1300,286.55,100.0,1026.0,1.0,F
1308,2017,281,400,290.07,59.0,1009.0,2.0,F
1648,2015,256,0,298.33,89.0,1007.0,2.0,F
5341,2016,363,1600,275.97,65.0,1022.0,1.0,F
1507,2014,271,1200,286.84,99.0,1024.0,1.0,F
2261,2015,189,600,289.54,82.0,1014.0,3.0,F
1750,2015,100,1000,280.7,100.0,1028.0,1.0,F
2357,2014,343,200,287.64,92.0,1034.0,1.0,F
2565,2015,26,200,285.56,90.0,1030.0,2.0,F
4257,2014,261,300,293.1,80.0,1021.0,4.0,F
2107,2017,113,1800,290.59,63.0,1017.0,7.0,F
5425,2015,354,1800,281.44,31.0,1029.0,4.0,F
1914,2017,113,2000,291.8,59.0,1018.0,9.0,F
2994,2013,179,1200,288.58,98.0,1018.0,0.0,F
5916,2016,15,0,284.73,37.0,1015.0,2.0,F
4239,2012,358,0,285.8,82.0,1012.0,11.0,F
1641,2014,306,800,284.72,99.0,1030.0,3.0,F
2662,2014,217,1400,289.7,82.0,1017.0,3.0,F
3331,2017,270,500,295.08,56.0,1009.0,3.0,F
474,2017,30,1100,278.71,86.0,1018.0,3.0,F
5494,2015,243,1700,294.68,72.0,1014.0,2.0,F
2782,2014,206,1400,289.79,82.0,1011.0,3.0,F
1527,2013,97,1200,285.04,100.0,1022.0,0.0,F
1497,2015,132,200,287.1,74.0,1025.0,6.0,F
2738,2015,129,1400,282.73,100.0,1032.0,1.0,F
2663,2016,154,1700,293.0,77.0,1016.0,3.0,F
35,2015,238,1100,287.51,87.0,1016.0,1.0,T
304,2012,310,1400,285.27,100.0,1021.0,1.0,F
1448,2016,328,700,285.39,71.0,1020.0,4.0,F
1324,2016,131,500,286.16,100.0,1015.0,5.0,F
607,2017,86,900,284.82,93.0,1015.0,4.0,F
5362,2012,325,500,285.81,58.0,1022.0,2.0,F
5777,2015,265,800,289.84,68.0,1009.0,2.0,F
1331,2013,288,200,292.48,74.0,1015.0,0.0,F
1938,2014,102,2300,290.7,74.0,1006.0,3.0,F
5967,2013,198,700,286.97,96.0,1012.0,0.0,F
4250,2017,3,700,281.64,82.0,1010.0,3.0,F
5667,2015,247,600,288.35,72.0,1011.0,5.0,F
2542,2016,3,1200,279.75,82.0,1021.0,4.0,F
2428,2012,345,100,285.79,62.0,1018.0,3.0,F
437,2017,139,1000,287.24,88.0,1018.0,1.0,F
2502,2015,325,2100,292.42,45.0,1015.0,3.0,F
4428,2015,278,300,290.99,67.0,1004.0,5.0,F
3395,2013,137,1700,288.33,93.0,1018.0,2.0,F
3267,2013,298,1900,285.29,95.0,1034.0,0.0,F
1947,2013,14,1300,277.29,56.0,1024.0,4.0,F
4723,2017,272,900,288.07,93.0,1015.0,2.0,F
805,2014,277,2000,298.04,49.0,1029.0,1.0,F
2969,2012,297,400,285.6,71.0,1012.0,4.0,F
5956,2017,298,1700,291.06,68.0,1015.0,1.0,F
3584,2017,242,1800,290.33,87.0,1014.0,4.0,F
